
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1997,4,1997-09-21,21-094,CHI,@,NWE,L 3-31,1,3,3.00,0,0,0,0,,0,0,0
2,1997,5,1997-09-28,21-101,CHI,@,DAL,L 3-27,3,22,7.33,0,0,0,0,,0,0,0
3,1997,6,1997-10-05,21-108,CHI,,NOR,L 17-20,0,0,,0,,0,0,,0,,
4,1997,7,1997-10-12,21-115,CHI,,GNB,L 23-24,2,7,3.50,0,0,0,0,,0,0,0
5,1997,8,1997-10-27,21-130,CHI,@,MIA,W 36-33,7,21,3.00,0,1,1,8,8.00,0,0,0
6,1997,9,1997-11-02,21-136,CHI,,WAS,L 8-31,0,0,,0,1,1,12,12.00,0,0,0
7,1997,10,1997-11-09,21-143,CHI,@,MIN,L 22-29,13,59,4.54,0,1,1,0,0.00,0,0,0
8,1997,11,1997-11-16,21-150,CHI,,NYJ,L 15-23,19,39,2.05,0,4,2,23,11.50,0,0,0
9,1997,12,1997-11-23,21-157,CHI,,TAM,W 13-7,5,11,2.20,0,1,0,0,,0,0,0
10,1997,13,1997-11-27,21-161,CHI,@,DET,L 20-55,6,10,1.67,0,1,1,4,4.00,0,0,0
11,1997,14,1997-12-07,21-171,CHI,,BUF,W 20-3,14,40,2.86,0,0,0,0,,0,0,0
12,1997,15,1997-12-14,21-178,CHI,@,STL,W 13-10,26,62,2.38,0,1,1,8,8.00,0,0,0
13,1997,16,1997-12-21,21-185,CHI,@,TAM,L 15-31,16,45,2.81,1,4,2,4,2.00,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
14,2000,6,2000-10-08,24-111,PHI,,WAS,L 14-17,7,15,2.14,0,1,1,4,4.00,0,0,0
15,2000,7,2000-10-15,24-118,PHI,@,ARI,W 33-14,20,64,3.20,1,3,3,28,9.33,0,1,6
16,2000,8,2000-10-22,24-125,PHI,,CHI,W 13-9,14,37,2.64,0,6,5,70,14.00,0,0,0
17,2000,9,2000-10-29,24-132,PHI,@,NYG,L 7-24,,,,,1,,,,,,
18,2000,10,2000-11-05,24-139,PHI,,DAL,W 16-13,19,65,3.42,0,4,3,57,19.00,1,1,6
19,2000,11,2000-11-12,24-146,PHI,@,PIT,W 26-23,7,7,1.00,0,7,3,31,10.33,0,0,0
20,2000,12,2000-11-19,24-153,PHI,,ARI,W 34-9,16,59,3.69,1,6,5,31,6.20,0,1,6
21,2000,13,2000-11-26,24-160,PHI,@,WAS,W 23-20,9,25,2.78,0,3,2,24,12.00,0,0,0
22,2000,14,2000-12-03,24-167,PHI,,TEN,L 13-15,6,14,2.33,0,4,2,30,15.00,0,0,0
23,2000,15,2000-12-10,24-174,PHI,@,CLE,W 35-24,10,28,2.80,1,2,0,0,,0,1,6
24,2000,16,2000-12-24,24-188,PHI,,CIN,W 16-7,4,20,5.00,0,0,0,0,,0,0,0
,,,24 Games,,,,,12-12-0,224,653,2.92,4,51,33,334,10.12,1,5,30
