
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2008,16,2008-12-28,23-192,IND,,TEN,W 23-0,13,83,6.38,0,1,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
2,2010,1,2010-09-12,25-085,DEN,@,JAX,L 17-24,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2010,2,2010-09-19,25-092,DEN,,SEA,W 31-14,,,,,,,,,,,,,,,,,,
4,2010,9,2010-11-14,25-148,DEN,,KAN,W 49-29,2,9,4.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2010,10,2010-11-22,25-156,DEN,@,SDG,L 14-35,1,1,1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2010,11,2010-11-28,25-162,DEN,,STL,L 33-36,4,31,7.75,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2010,12,2010-12-05,25-169,DEN,@,KAN,L 6-10,,,,,,,,,,,,,,,,,,
8,2010,13,2010-12-12,25-176,DEN,@,ARI,L 13-43,8,38,4.75,0,3,1,-3,-3.00,0,1,15,15.00,0,0,0,0.0,1,0
9,2010,14,2010-12-19,25-183,DEN,@,OAK,L 23-39,15,20,1.33,0,1,0,0,,0,1,18,18.00,0,0,0,0.0,0,0
10,2010,15,2010-12-26,25-190,DEN,,HOU,W 24-23,5,38,7.60,0,1,1,13,13.00,0,0,0,,0,0,0,0.0,0,0
11,2010,16,2011-01-02,25-197,DEN,,SDG,L 28-33,6,21,3.50,0,1,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
12,2011,1,2011-09-12,26-085,DEN,,OAK,L 20-23,0,0,,0,1,1,9,9.00,1,0,0,,0,1,6,0.0,0,0
13,2011,2,2011-09-18,26-091,DEN,,CIN,W 24-22,6,28,4.67,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2011,3,2011-09-25,26-098,DEN,@,TEN,L 14-17,1,7,7.00,0,5,3,11,3.67,0,0,0,,0,0,0,0.0,0,0
15,2011,4,2011-10-02,26-105,DEN,@,GNB,L 23-49,2,5,2.50,0,2,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
16,2011,5,2011-10-09,26-112,DEN,,SDG,L 24-29,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2011,6,2011-10-23,26-126,DEN,@,MIA,W 18-15,6,14,2.33,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2011,7,2011-10-30,26-133,DEN,,DET,L 10-45,6,63,10.50,0,3,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
19,2011,8,2011-11-06,26-140,DEN,@,OAK,W 38-24,4,14,3.50,0,0,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
20,2011,9,2011-11-13,26-147,DEN,@,KAN,W 17-10,30,96,3.20,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2011,10,2011-11-17,26-151,DEN,,NYJ,W 17-13,5,18,3.60,0,3,2,26,13.00,0,0,0,,0,0,0,0.0,0,0
22,2011,11,2011-11-27,26-161,DEN,@,SDG,W 16-13,4,19,4.75,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2011,12,2011-12-04,26-168,DEN,@,MIN,W 35-32,7,25,3.57,0,2,2,14,7.00,0,0,0,,0,0,0,0.0,0,0
24,2011,13,2011-12-11,26-175,DEN,,CHI,W 13-10,1,13,13.00,0,6,4,37,9.25,0,0,0,,0,0,0,0.0,0,0
25,2011,14,2011-12-18,26-182,DEN,,NWE,L 23-41,11,64,5.82,1,4,2,41,20.50,0,0,0,,0,1,6,0.0,0,0
26,2011,15,2011-12-24,26-188,DEN,@,BUF,L 14-40,4,12,3.00,0,3,0,0,,0,0,0,,0,0,0,0.0,1,0
27,2011,16,2012-01-01,26-196,DEN,,KAN,L 3-7,9,24,2.67,0,1,0,0,,0,0,0,,0,0,0,0.0,1,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
28,2012,1,2012-09-09,27-082,DEN,,PIT,W 31-19,2,14,7.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2012,2,2012-09-17,27-090,DEN,@,ATL,L 21-27,1,4,4.00,0,2,1,17,17.00,0,0,0,,0,0,0,0.0,0,0
30,2012,3,2012-09-23,27-096,DEN,,HOU,L 25-31,7,16,2.29,0,4,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
31,2012,4,2012-09-30,27-103,DEN,,OAK,W 37-6,6,10,1.67,0,2,1,14,14.00,1,0,0,,0,1,6,0.0,0,0
32,2012,5,2012-10-07,27-110,DEN,@,NWE,L 21-31,1,1,1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
33,2012,6,2012-10-15,27-118,DEN,@,SDG,W 35-24,,,,,,,,,,,,,,,,,,
34,2012,7,2012-10-28,27-131,DEN,,NOR,W 34-14,2,14,7.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
35,2012,8,2012-11-04,27-138,DEN,@,CIN,W 31-23,0,0,,0,1,1,7,7.00,0,1,0,0.00,0,0,0,0.0,0,0
36,2012,9,2012-11-11,27-145,DEN,@,CAR,W 36-14,,,,,,,,,,,,,,,,,,
37,2012,10,2012-11-18,27-152,DEN,,SDG,W 30-23,6,35,5.83,0,3,3,21,7.00,0,0,0,,0,0,0,0.0,0,0
38,2012,11,2012-11-25,27-159,DEN,@,KAN,W 17-9,,,,,,,,,,,,,,,,,,
39,2012,12,2012-12-02,27-166,DEN,,TAM,W 31-23,2,-2,-1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
40,2012,13,2012-12-06,27-170,DEN,@,OAK,W 26-13,,,,,,,,,,,,,,,,,,
41,2012,15,2012-12-23,27-187,DEN,,CLE,W 34-12,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
42,2012,16,2012-12-30,27-194,DEN,,KAN,W 38-3,15,66,4.40,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
,,,42 Games,,,,,24-18-0,192,801,4.17,2,51,27,230,8.52,2,4,42,10.50,0,4,24,0.0,3,0
