
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1982,3,1982-11-21,22-350,NYJ,,BAL,W 37-0,6,17,2.83,0,,0,0,,0,0,0,,0,0,0
2,1982,5,1982-12-06,23-000,NYJ,@,DET,W 28-13,1,4,4.00,0,,0,0,,0,0,0,,0,0,0
3,1982,6,1982-12-12,23-006,NYJ,,TAM,W 32-17,0,0,,0,,,,,,,,,,,
4,1982,7,1982-12-18,23-012,NYJ,@,MIA,L 19-20,0,0,,0,,,,,,,,,,,
5,1982,8,1982-12-26,23-020,NYJ,@,MIN,W 42-14,1,3,3.00,0,,0,0,,0,0,0,,0,0,0
6,1982,9,1983-01-02,23-027,NYJ,@,KAN,L 13-37,0,0,,0,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
7,1983,1,1983-09-04,23-272,NYJ,@,SDG,W 41-29,0,0,,0,,0,0,,0,0,0,,0,,
8,1983,2,1983-09-11,23-279,NYJ,,SEA,L 10-17,0,0,,0,,0,0,,0,0,0,,0,,
9,1983,3,1983-09-18,23-286,NYJ,@,NWE,L 13-23,0,0,,0,,0,0,,0,0,0,,0,,
10,1983,4,1983-09-25,23-293,NYJ,,RAM,W 27-24,0,0,,0,,0,0,,0,0,0,,0,,
11,1983,5,1983-10-03,23-301,NYJ,@,BUF,W 34-10,0,0,,0,,0,0,,0,0,0,,0,,
12,1983,6,1983-10-09,23-307,NYJ,@,CLE,L 7-10,0,0,,0,,0,0,,0,0,0,,0,,
13,1983,7,1983-10-16,23-314,NYJ,,MIA,L 14-32,1,10,10.00,0,,1,12,12.00,0,1,9,9.00,0,0,0
14,1983,8,1983-10-23,23-321,NYJ,,ATL,L 21-27,0,0,,0,,0,0,,0,0,0,,0,,
15,1983,9,1983-10-30,23-328,NYJ,@,SFO,W 27-13,0,0,,0,,1,6,6.00,0,0,0,,0,0,0
16,1983,12,1983-11-21,23-350,NYJ,@,NOR,W 31-28,1,1,1.00,1,,0,0,,0,0,0,,0,1,6
17,1983,13,1983-11-27,23-356,NYJ,,NWE,W 26-3,6,30,5.00,0,,1,5,5.00,0,0,0,,0,0,0
18,1983,14,1983-12-04,23-363,NYJ,@,BAL,W 10-6,6,34,5.67,0,,1,4,4.00,0,0,0,,0,0,0
19,1983,15,1983-12-10,24-004,NYJ,,PIT,L 7-34,0,0,,0,,2,16,8.00,0,0,0,,0,0,0
20,1983,16,1983-12-16,24-010,NYJ,@,MIA,L 14-34,1,2,2.00,0,,1,5,5.00,1,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
21,1984,1,1984-09-02,24-271,NYJ,@,IND,W 23-14,1,0,0.00,0,,0,0,,0,0,0,,0,0,0
22,1984,2,1984-09-06,24-275,NYJ,,PIT,L 17-23,4,24,6.00,0,,0,0,,0,0,0,,0,0,0
23,1984,3,1984-09-16,24-285,NYJ,,CIN,W 43-23,1,0,0.00,0,,1,8,8.00,0,0,0,,0,0,0
24,1984,4,1984-09-23,24-292,NYJ,@,BUF,W 28-26,0,0,,0,,0,0,,0,,,,,,
25,1984,5,1984-09-30,24-299,NYJ,,NWE,L 21-28,2,12,6.00,0,,0,0,,0,0,0,,0,0,0
26,1984,6,1984-10-07,24-306,NYJ,@,KAN,W 17-16,1,0,0.00,0,,1,8,8.00,0,0,0,,0,0,0
