
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1987,1,1987-09-13,22-336,DET,@,MIN,L 19-34,2,7,3.50,0,,4,20,5.00,0,2,54,27.00,0,0,0
2,1987,2,1987-09-20,22-343,DET,@,RAI,L 7-27,0,0,,0,,0,0,,0,2,0,0.00,0,0,0
3,1987,7,1987-11-01,23-020,DET,@,DEN,L 0-34,1,1,1.00,0,,1,10,10.00,0,0,0,,0,0,0
4,1987,8,1987-11-08,23-027,DET,,DAL,W 27-17,0,0,,0,,0,0,,0,0,0,,0,,
5,1987,9,1987-11-15,23-034,DET,@,WAS,L 13-20,8,36,4.50,1,,1,4,4.00,0,0,0,,0,1,6
6,1987,10,1987-11-22,23-041,DET,@,CHI,L 10-30,4,3,0.75,0,,1,7,7.00,0,0,0,,0,0,0
7,1987,11,1987-11-26,23-045,DET,,KAN,L 20-27,20,99,4.95,1,,4,41,10.25,0,0,0,,0,1,6
8,1987,12,1987-12-06,23-055,DET,,RAM,L 16-37,10,41,4.10,0,,2,9,4.50,0,0,0,,0,0,0
,,,8 Games,,,,,1-7-0,45,187,4.16,2,,13,91,7.00,0,4,54,13.50,0,2,12
