
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1968,2,1968-09-22,22-201,PIT,@,RAM,L 10-45,0,0,,0,,0,0,,0,3,68,22.67,0,0,0,,0,0,0
2,1968,3,1968-09-29,22-208,PIT,,BAL,L 7-41,0,0,,0,,1,54,54.00,0,0,0,,0,0,0,,0,0,0
3,1968,5,1968-10-13,22-222,PIT,@,WAS,L 13-16,4,35,8.75,0,,0,0,,0,1,18,18.00,0,0,0,,0,0,0
4,1968,6,1968-10-20,22-229,PIT,,NOR,L 12-16,1,1,1.00,0,,0,0,,0,0,0,,0,2,13,6.50,0,0,0
5,1968,8,1968-11-03,22-243,PIT,@,ATL,W 41-21,0,0,,0,,1,10,10.00,0,1,22,22.00,0,0,0,,0,0,0
6,1968,9,1968-11-10,22-250,PIT,@,STL,T 28-28,1,3,3.00,0,,1,4,4.00,0,0,0,,0,0,0,,0,0,0
7,1968,11,1968-11-24,22-264,PIT,,SFO,L 28-45,0,0,,0,,0,0,,0,1,11,11.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
8,1971,14,1971-12-19,25-289,PIT,,RAM,L 14-23,0,0,,0,,0,0,,0,1,21,21.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
9,1972,1,1972-09-17,26-196,PIT,,OAK,W 34-28,0,0,,0,,0,0,,0,1,20,20.00,0,0,0,,0,0,0
10,1972,2,1972-09-24,26-203,PIT,@,CIN,L 10-15,0,0,,0,,0,0,,0,0,0,,0,2,1,0.50,0,0,0
11,1972,11,1972-11-26,26-266,PIT,,MIN,W 23-10,0,0,,0,,0,0,,0,1,20,20.00,0,0,0,,0,0,0
12,1972,12,1972-12-03,26-273,PIT,,CLE,W 30-0,1,17,17.00,0,,0,0,,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
13,1973,8,1973-11-05,27-245,PIT,,WAS,W 21-16,1,0,0.00,0,,0,0,,0,1,12,12.00,0,0,0,,0,0,0
14,1973,10,1973-11-18,27-258,PIT,,DEN,L 13-23,1,-1,-1.00,0,,0,0,,0,1,15,15.00,0,0,0,,0,0,0
15,1973,11,1973-11-25,27-265,PIT,@,CLE,L 16-21,1,1,1.00,0,,0,0,,0,0,0,,0,0,0,,0,0,0
16,1973,13,1973-12-09,27-279,PIT,,HOU,W 33-7,0,0,,0,,0,0,,0,1,20,20.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
17,1974,3,1974-09-29,28-208,PIT,,OAK,L 0-17,1,2,2.00,0,,0,0,,0,0,0,,0,0,0,,0,0,0
18,1974,4,1974-10-06,28-215,PIT,@,HOU,W 13-7,8,37,4.63,0,,0,0,,0,0,0,,0,0,0,,0,0,0
19,1974,5,1974-10-13,28-222,PIT,@,KAN,W 34-24,12,45,3.75,1,,3,41,13.67,0,0,0,,0,0,0,,0,1,6
20,1974,6,1974-10-20,28-229,PIT,,CLE,W 20-16,9,48,5.33,0,,0,0,,0,0,0,,0,0,0,,0,0,0
21,1974,7,1974-10-28,28-237,PIT,,ATL,W 24-17,15,78,5.20,1,,1,24,24.00,0,2,57,28.50,0,0,0,,0,1,6
22,1974,8,1974-11-03,28-243,PIT,,PHI,W 27-0,9,37,4.11,0,,0,0,,0,1,10,10.00,0,0,0,,0,0,0
23,1974,9,1974-11-10,28-250,PIT,@,CIN,L 10-17,8,31,3.88,0,,2,14,7.00,0,0,0,,0,0,0,,0,0,0
24,1974,12,1974-12-01,28-271,PIT,,HOU,L 10-13,6,15,2.50,0,,0,0,,0,0,0,,0,0,0,,0,0,0
