
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1976,1,1976-09-12,22-112,SEA,,STL,L 24-30,12,37,3.08,0,,0,0,,0,6,119,19.83,0
2,1976,2,1976-09-19,22-119,SEA,@,WAS,L 7-31,1,7,7.00,0,,0,0,,0,0,0,,0
3,1976,3,1976-09-26,22-126,SEA,,SFO,L 21-37,0,0,,0,,0,0,,0,4,79,19.75,0
4,1976,4,1976-10-03,22-133,SEA,,DAL,L 13-28,0,0,,0,,0,0,,0,1,24,24.00,0
5,1976,5,1976-10-10,22-140,SEA,@,GNB,L 20-27,0,0,,0,,0,0,,0,4,58,14.50,0
6,1976,8,1976-10-31,22-161,DET,,GNB,W 27-6,2,27,13.50,0,,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
7,1977,4,1977-10-09,23-139,DET,@,MIN,L 7-14,0,0,,0,,0,0,,0,1,5,5.00,0
8,1977,6,1977-10-23,23-153,DET,@,SFO,L 7-28,0,0,,0,,0,0,,0,2,42,21.00,0
9,1977,10,1977-11-20,23-181,DET,,TAM,W 16-7,2,3,1.50,0,,0,0,,0,0,0,,0
10,1977,13,1977-12-11,23-202,DET,@,BAL,W 13-10,0,0,,0,,0,0,,0,2,26,13.00,0
11,1977,14,1977-12-17,23-208,DET,,MIN,L 21-30,1,1,1.00,0,,1,6,6.00,0,1,13,13.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
12,1978,2,1978-09-09,24-109,DET,@,TAM,W 15-7,2,5,2.50,0,,0,0,,0,0,0,,0
,,,12 Games,,,,,4-8-0,20,80,4.00,0,,1,6,6.00,0,21,366,17.43,0
