
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1966,2,1966-09-18,23-076,NYJ,,HOU,W 52-13,5,49,9.80,1,,0,0,,0,0,0,,0,1,6
2,1966,3,1966-09-25,23-083,NYJ,@,DEN,W 16-7,2,20,10.00,0,,0,0,,0,1,22,22.00,0,0,0
3,1966,5,1966-10-08,23-096,NYJ,,SDG,W 17-16,5,20,4.00,1,,0,0,,0,1,26,26.00,0,1,6
4,1966,6,1966-10-16,23-104,NYJ,@,HOU,L 0-24,2,6,3.00,0,,0,0,,0,3,75,25.00,0,0,0
5,1966,7,1966-10-23,23-111,NYJ,,OAK,L 21-24,3,19,6.33,0,,0,0,,0,2,36,18.00,0,0,0
6,1966,8,1966-10-30,23-118,NYJ,,BUF,L 23-33,1,0,0.00,0,,0,0,,0,5,104,20.80,0,0,0
7,1966,9,1966-11-13,23-132,NYJ,@,BUF,L 3-14,9,25,2.78,0,,4,68,17.00,0,1,22,22.00,0,0,0
8,1966,10,1966-11-20,23-139,NYJ,,MIA,W 30-13,23,64,2.78,1,,0,0,,0,2,108,54.00,1,2,12
9,1966,11,1966-11-27,23-146,NYJ,,KAN,L 24-32,9,20,2.22,0,,2,29,14.50,0,5,144,28.80,0,0,0
10,1966,12,1966-12-03,23-152,NYJ,@,OAK,T 28-28,5,78,15.60,1,,1,26,26.00,0,1,21,21.00,0,1,6
11,1966,13,1966-12-11,23-160,NYJ,@,SDG,L 27-42,10,37,3.70,0,,1,10,10.00,0,5,101,20.20,0,0,0
12,1966,14,1966-12-17,23-166,NYJ,,BOS,W 38-28,23,117,5.09,1,,0,0,,0,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
13,1967,1,1967-09-10,24-068,NYJ,@,BUF,L 17-20,16,53,3.31,0,,0,0,,0,3,63,21.00,0,0,0
14,1967,2,1967-09-24,24-082,NYJ,@,DEN,W 38-24,18,44,2.44,3,,1,13,13.00,0,2,41,20.50,0,3,18
15,1967,3,1967-10-01,24-089,NYJ,,MIA,W 29-7,13,25,1.92,1,,5,109,21.80,2,1,18,18.00,0,3,18
16,1967,4,1967-10-07,24-095,NYJ,,OAK,W 27-14,18,98,5.44,2,,0,0,,0,1,17,17.00,0,2,12
17,1967,5,1967-10-15,24-103,NYJ,,HOU,T 28-28,18,65,3.61,2,,1,27,27.00,0,4,74,18.50,0,2,12
18,1967,6,1967-10-22,24-110,NYJ,@,MIA,W 33-14,14,57,4.07,1,,1,2,2.00,1,0,0,,0,2,12
19,1967,7,1967-10-29,24-117,NYJ,,BOS,W 30-23,15,54,3.60,1,,1,29,29.00,0,0,0,,0,1,6
20,1967,8,1967-11-05,24-124,NYJ,@,KAN,L 18-42,7,46,6.57,0,,3,25,8.33,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
21,1968,1,1968-09-15,25-073,NYJ,@,KAN,W 20-19,18,75,4.17,0,,1,2,2.00,0,0,0,,0,0,0
22,1968,2,1968-09-22,25-080,NYJ,@,BOS,W 47-31,8,52,6.50,1,,1,11,11.00,0,0,0,,0,1,6
23,1968,3,1968-09-29,25-087,NYJ,@,BUF,L 35-37,9,43,4.78,1,,2,10,5.00,0,0,0,,0,1,6
