
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2006,16,2006-12-31,25-335,NOR,,CAR,L 21-31,10,29,2.90,0,6,5,14,2.80,1,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
2,2007,12,2007-12-02,26-306,NOR,,TAM,L 23-27,,,,,,,,,,,
3,2007,13,2007-12-10,26-314,NOR,@,ATL,W 34-14,0,0,,0,,0,0,,0,0,0
4,2007,14,2007-12-16,26-320,NOR,,ARI,W 31-24,0,0,,0,,0,0,,0,0,0
5,2007,15,2007-12-23,26-327,NOR,,PHI,L 23-38,0,0,,0,,0,0,,0,0,0
,,,5 Games,,,,,2-3-0,10,29,2.90,0,6,5,14,2.80,1,1,6
