
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1977,1,1977-09-18,23-104,DAL,@,MIN,W 16-10,0,0,,0,,0,0,,0,1,15,15.00,0,0,0
2,1977,2,1977-09-25,23-111,DAL,,NYG,W 41-21,3,5,1.67,0,,0,0,,0,2,43,21.50,0,0,0
3,1977,4,1977-10-09,23-125,DAL,@,STL,W 30-24,0,0,,0,,0,0,,0,1,35,35.00,0,0,0
4,1977,5,1977-10-16,23-132,DAL,,WAS,W 34-16,0,0,,0,,0,0,,0,2,46,23.00,0,0,0
5,1977,6,1977-10-23,23-139,DAL,@,PHI,W 16-10,0,0,,0,,0,0,,0,2,42,21.00,0,0,0
6,1977,7,1977-10-30,23-146,DAL,,DET,W 37-0,3,22,7.33,1,,0,0,,0,0,0,,0,1,6
7,1977,8,1977-11-06,23-153,DAL,@,NYG,W 24-10,0,0,,0,,0,0,,0,2,41,20.50,0,0,0
8,1977,9,1977-11-14,23-161,DAL,,STL,L 17-24,0,0,,0,,0,0,,0,1,28,28.00,0,0,0
9,1977,10,1977-11-20,23-167,DAL,@,PIT,L 13-28,0,0,,0,,0,0,,0,2,65,32.50,0,0,0
10,1977,11,1977-11-27,23-174,DAL,@,WAS,W 14-7,0,0,,0,,0,0,,0,1,20,20.00,0,0,0
11,1977,12,1977-12-04,23-181,DAL,,PHI,W 24-14,1,3,3.00,0,,0,0,,0,1,23,23.00,0,0,0
12,1977,13,1977-12-12,23-189,DAL,@,SFO,W 42-35,0,0,,0,,0,0,,0,2,51,25.50,0,0,0
13,1977,14,1977-12-18,23-195,DAL,,DEN,W 14-6,1,-2,-2.00,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
14,1978,7,1978-10-15,24-131,DAL,@,STL,W 24-21,0,0,,0,,0,0,,0,1,0,0.00,0,0,0
15,1978,8,1978-10-22,24-138,DAL,,PHI,W 14-7,0,0,,0,,0,0,,0,2,59,29.50,0,0,0
16,1978,9,1978-10-26,24-142,DAL,,MIN,L 10-21,0,0,,0,,0,0,,0,2,19,9.50,0,0,0
17,1978,11,1978-11-12,24-159,DAL,@,GNB,W 42-14,3,-2,-0.67,0,,0,0,,0,0,0,,0,0,0
18,1978,12,1978-11-19,24-166,DAL,,NOR,W 27-7,1,0,0.00,0,,0,0,,0,0,0,,0,0,0
19,1978,13,1978-11-23,24-170,DAL,,WAS,W 37-10,4,51,12.75,1,,0,0,,0,0,0,,0,1,6
20,1978,15,1978-12-10,24-187,DAL,@,PHI,W 31-13,2,11,5.50,0,,0,0,,0,0,0,,0,0,0
21,1978,16,1978-12-17,24-194,DAL,@,NYJ,W 30-7,8,36,4.50,1,,0,0,,0,1,15,15.00,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
22,1979,1,1979-09-02,25-088,DAL,@,STL,W 22-21,2,9,4.50,0,,0,0,,0,0,0,,0,0,0
23,1979,5,1979-09-30,25-116,DAL,,CIN,W 38-13,5,13,2.60,0,,0,0,,0,1,17,17.00,0,0,0
24,1979,6,1979-10-07,25-123,DAL,@,MIN,W 36-20,4,22,5.50,0,,0,0,,0,0,0,,0,0,0
25,1979,13,1979-11-22,25-169,DAL,,HOU,L 24-30,0,0,,0,,0,0,,0,1,6,6.00,0,0,0
26,1979,14,1979-12-02,25-179,DAL,,NYG,W 28-7,2,3,1.50,0,,0,0,,0,0,0,,0,0,0
27,1979,15,1979-12-08,25-185,DAL,@,PHI,W 24-17,1,1,1.00,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
28,1980,9,1980-11-02,26-149,SEA,,PHI,L 20-27,1,-4,-4.00,0,,0,0,,0,0,0,,0,0,0
29,1980,10,1980-11-09,26-156,SEA,,KAN,L 30-31,3,21,7.00,1,,0,0,,0,0,0,,0,1,6
30,1980,11,1980-11-17,26-164,SEA,,OAK,L 17-19,9,34,3.78,0,,0,0,,0,0,0,,0,0,0
31,1980,12,1980-11-23,26-170,SEA,@,DEN,L 20-36,3,6,2.00,0,,1,9,9.00,0,0,0,,0,0,0
,,,31 Games,,,,,23-8-0,56,229,4.09,4,,1,9,9.00,0,25,525,21.00,0,4,24
