
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1960,1,1960-09-09,24-187,DEN,@,BOS,W 13-10,4,1,0.25,0,,1,12,12.00,0,0,0,,0,0,0
2,1960,2,1960-09-18,24-196,DEN,@,BUF,W 27-21,4,11,2.75,0,,2,8,4.00,1,0,0,,0,1,6
3,1960,3,1960-09-23,24-201,DEN,@,NYT,L 24-28,1,3,3.00,0,,0,0,,0,0,0,,0,0,0
4,1960,4,1960-10-02,24-210,DEN,,OAK,W 31-14,2,-5,-2.50,0,,0,0,,0,0,0,,0,0,0
5,1960,6,1960-10-23,24-231,DEN,,BOS,W 31-24,1,0,0.00,0,,0,0,,0,0,0,,0,0,0
6,1960,7,1960-10-30,24-238,DEN,,DTX,L 14-17,0,0,,0,,0,0,,0,1,19,19.00,0,0,0
7,1960,8,1960-11-06,24-245,DEN,,HOU,L 25-45,0,0,,0,,0,0,,0,1,34,34.00,0,0,0
8,1960,10,1960-11-20,24-259,DEN,@,HOU,L 10-20,0,0,,0,,0,0,,0,1,33,33.00,0,0,0
9,1960,11,1960-11-27,24-266,DEN,,BUF,T 38-38,3,8,2.67,0,,1,19,19.00,0,0,0,,0,0,0
10,1960,12,1960-12-04,24-273,DEN,,NYT,L 27-30,0,0,,0,,0,0,,0,1,17,17.00,0,0,0
11,1960,14,1960-12-17,24-286,DEN,@,OAK,L 10-48,0,0,,0,,1,0,0.00,0,1,14,14.00,0,0,0
,,,11 Games,,,,,4-6-1,15,18,1.20,0,,5,39,7.80,1,5,117,23.40,0,1,6
