
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,2005,5,2005-10-16,22-346,WAS,@,KAN,L 21-28,0,0,,0,1,5,5.00,0
2,2005,10,2005-11-20,23-016,WAS,,OAK,L 13-16,0,0,,0,0,0,,0
3,2005,11,2005-11-27,23-023,WAS,,SDG,L 17-23,0,0,,0,0,0,,0
4,2005,12,2005-12-04,23-030,WAS,@,STL,W 24-9,1,3,3.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
5,2006,15,2006-12-24,24-050,WAS,@,STL,L 31-37,0,0,,0,0,0,,0
6,2006,16,2006-12-30,24-056,WAS,,NYG,L 28-34,0,0,,0,0,0,,0
,,,6 Games,,,,,1-5-0,1,3,3.00,0,1,5,5.00,0
