
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1990,1,1990-09-09,23-199,ATL,,HOU,W 47-27,17,54,3.18,1,,2,23,11.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
2,1990,2,1990-09-16,23-206,ATL,@,DET,L 14-21,19,88,4.63,1,,3,26,8.67,0,0,0,,0,0,0,,,,0,0,,0,1,6
3,1990,3,1990-09-23,23-213,ATL,@,SFO,L 13-19,15,45,3.00,0,,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
4,1990,4,1990-10-07,23-227,ATL,,NOR,W 28-27,12,46,3.83,0,,1,-2,-2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
5,1990,5,1990-10-14,23-234,ATL,,SFO,L 35-45,1,-1,-1.00,0,,2,12,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
6,1990,6,1990-10-21,23-241,ATL,@,RAM,L 24-44,8,55,6.88,0,,4,18,4.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
7,1990,7,1990-10-28,23-248,ATL,,CIN,W 38-17,11,81,7.36,1,,1,13,13.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
8,1990,8,1990-11-04,23-255,ATL,@,PIT,L 9-21,11,18,1.64,0,,3,18,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
9,1990,9,1990-11-11,23-262,ATL,@,CHI,L 24-30,5,12,2.40,1,,3,20,6.67,0,0,0,,0,0,0,,,,0,0,,0,1,6
10,1990,10,1990-11-18,23-269,ATL,,PHI,L 23-24,10,25,2.50,0,,1,5,5.00,0,0,0,,0,0,0,,,,2,22,11.00,0,0,0
11,1990,11,1990-11-25,23-276,ATL,@,NOR,L 7-10,7,21,3.00,0,,3,25,8.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
12,1990,13,1990-12-09,23-290,ATL,,PHO,L 13-24,3,-1,-0.33,0,,0,0,,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0
13,1990,16,1990-12-30,23-311,ATL,,DAL,W 26-7,7,11,1.57,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
14,1991,1,1991-09-01,24-191,ATL,@,KAN,L 3-14,1,1,1.00,0,,1,10,10.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
15,1991,2,1991-09-08,24-198,ATL,,MIN,L 19-20,1,3,3.00,0,,1,-5,-5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
16,1991,3,1991-09-15,24-205,ATL,@,SDG,W 13-10,20,101,5.05,0,,2,20,10.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
17,1991,4,1991-09-22,24-212,ATL,,RAI,W 21-17,5,7,1.40,0,,1,25,25.00,1,0,0,,0,0,0,,,,0,0,,0,1,6
18,1991,5,1991-09-29,24-219,ATL,,NOR,L 6-27,3,3,1.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
19,1991,6,1991-10-13,24-233,ATL,@,SFO,W 39-34,10,104,10.40,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
20,1991,7,1991-10-20,24-240,ATL,@,PHO,L 10-16,7,34,4.86,0,,1,12,12.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
21,1991,8,1991-10-27,24-247,ATL,,RAM,W 31-14,0,0,,0,,2,10,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
22,1991,9,1991-11-03,24-254,ATL,,SFO,W 17-14,6,10,1.67,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
23,1991,10,1991-11-10,24-261,ATL,@,WAS,L 17-56,3,14,4.67,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
24,1991,11,1991-11-17,24-268,ATL,,TAM,W 43-7,10,57,5.70,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
25,1991,13,1991-12-01,24-282,ATL,,GNB,W 35-31,9,26,2.89,1,,1,22,22.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
26,1991,14,1991-12-08,24-289,ATL,@,RAM,W 31-14,15,48,3.20,2,,2,20,10.00,0,0,0,,0,0,0,,,,0,0,,0,2,12
27,1991,15,1991-12-15,24-296,ATL,,SEA,W 26-13,9,41,4.56,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
28,1992,2,1992-09-13,25-204,ATL,@,WAS,L 17-24,5,10,2.00,0,1,1,11,11.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
29,1992,3,1992-09-20,25-211,ATL,,NOR,L 7-10,9,25,2.78,0,1,1,12,12.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
30,1992,4,1992-09-27,25-218,ATL,@,CHI,L 31-41,5,21,4.20,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
31,1992,5,1992-10-04,25-225,ATL,,GNB,W 24-10,2,1,0.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
32,1992,6,1992-10-11,25-232,ATL,@,MIA,L 17-21,2,9,4.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
33,1992,7,1992-10-18,25-239,ATL,@,SFO,L 17-56,0,0,,0,,0,0,,0,,,,,,,,,,,,,,,
34,1992,8,1992-11-01,25-253,ATL,,RAM,W 30-28,2,17,8.50,0,1,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
35,1992,9,1992-11-09,25-261,ATL,,SFO,L 3-41,4,22,5.50,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
36,1992,10,1992-11-15,25-267,ATL,,PHO,W 20-17,16,87,5.44,0,2,1,24,24.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
37,1992,11,1992-11-22,25-274,ATL,@,BUF,L 14-41,4,8,2.00,0,2,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
38,1992,12,1992-11-29,25-281,ATL,,NWE,W 34-0,8,18,2.25,1,2,1,18,18.00,1,0,0,,0,0,0,,,,0,0,,0,2,12
39,1992,13,1992-12-03,25-285,ATL,@,NOR,L 14-22,8,63,7.88,0,2,2,9,4.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
40,1992,14,1992-12-13,25-295,ATL,@,TAM,W 35-7,9,39,4.33,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
41,1992,15,1992-12-21,25-303,ATL,,DAL,L 17-41,4,17,4.25,0,2,2,12,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
42,1992,16,1992-12-27,25-309,ATL,@,RAM,L 27-38,6,26,4.33,0,1,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
43,1993,1,1993-09-05,26-195,ATL,@,DET,L 13-30,0,0,,0,1,0,0,,0,,,,,,,,,,,,,,,
