
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1978,2,1978-09-10,22-021,PHI,@,WAS,L 30-35,0,0,,0,,0,0,,0,3,44,14.67,0,0,0
2,1978,3,1978-09-17,22-028,PHI,@,NOR,W 24-17,0,0,,0,,0,0,,0,2,40,20.00,0,0,0
3,1978,4,1978-09-24,22-035,PHI,,MIA,W 17-3,0,0,,0,,0,0,,0,1,31,31.00,0,0,0
4,1978,5,1978-10-01,22-042,PHI,@,BAL,W 17-14,1,4,4.00,0,,1,10,10.00,0,1,26,26.00,0,0,0
5,1978,6,1978-10-08,22-049,PHI,@,NWE,L 14-24,0,0,,0,,0,0,,0,3,69,23.00,0,0,0
6,1978,7,1978-10-15,22-056,PHI,,WAS,W 17-10,1,6,6.00,0,,0,0,,0,1,18,18.00,0,0,0
7,1978,8,1978-10-22,22-063,PHI,@,DAL,L 7-14,0,0,,0,,0,0,,0,1,22,22.00,0,0,0
8,1978,9,1978-10-29,22-070,PHI,,STL,L 10-16,10,74,7.40,0,,3,14,4.67,0,2,48,24.00,0,0,0
9,1978,10,1978-11-05,22-077,PHI,,GNB,W 10-3,11,34,3.09,0,,6,38,6.33,0,0,0,,0,0,0
10,1978,11,1978-11-12,22-084,PHI,,NYJ,W 17-9,22,92,4.18,0,,3,34,11.33,0,0,0,,0,0,0
11,1978,12,1978-11-19,22-091,PHI,@,NYG,W 19-17,7,11,1.57,0,,2,5,2.50,0,0,0,,0,0,0
12,1978,13,1978-11-26,22-098,PHI,@,STL,W 14-10,4,7,1.75,0,,0,0,,0,1,13,13.00,0,0,0
13,1978,14,1978-12-03,22-105,PHI,@,MIN,L 27-28,0,0,,0,,0,0,,0,1,20,20.00,0,0,0
14,1978,15,1978-12-10,22-112,PHI,,DAL,L 13-31,2,9,4.50,0,,0,0,,0,0,0,,0,0,0
15,1978,16,1978-12-17,22-119,PHI,,NYG,W 20-3,3,10,3.33,0,,0,0,,0,2,37,18.50,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
16,1979,1,1979-09-02,23-013,PHI,,NYG,W 23-17,5,23,4.60,1,,0,0,,0,0,0,,0,1,6
17,1979,3,1979-09-16,23-027,PHI,@,NOR,W 26-14,2,16,8.00,1,,0,0,,0,0,0,,0,1,6
18,1979,4,1979-09-23,23-034,PHI,@,NYG,W 17-13,4,20,5.00,0,,0,0,,0,0,0,,0,0,0
19,1979,5,1979-09-30,23-041,PHI,,PIT,W 17-14,1,-2,-2.00,0,,0,0,,0,0,0,,0,0,0
20,1979,6,1979-10-07,23-048,PHI,,WAS,W 28-17,2,12,6.00,0,,0,0,,0,0,0,,0,0,0
21,1979,7,1979-10-14,23-055,PHI,@,STL,W 24-20,2,13,6.50,1,,1,5,5.00,0,0,0,,0,1,6
22,1979,8,1979-10-21,23-062,PHI,@,WAS,L 7-17,0,0,,0,,0,0,,0,1,18,18.00,0,0,0
23,1979,9,1979-10-28,23-069,PHI,@,CIN,L 13-37,1,4,4.00,0,,1,7,7.00,0,0,0,,0,0,0
24,1979,10,1979-11-04,23-076,PHI,,CLE,L 19-24,0,0,,0,,2,6,3.00,0,0,0,,0,0,0
25,1979,11,1979-11-12,23-084,PHI,@,DAL,W 31-21,1,-1,-1.00,0,,1,12,12.00,0,0,0,,0,0,0
26,1979,12,1979-11-18,23-090,PHI,,STL,W 16-13,1,3,3.00,0,,1,6,6.00,0,2,68,34.00,0,0,0
27,1979,13,1979-11-25,23-097,PHI,@,GNB,W 21-10,1,-2,-2.00,0,,1,14,14.00,0,1,29,29.00,0,0,0
