
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1966,2,1966-09-18,23-279,BOS,@,DEN,W 24-10,2,7,3.50,0,,0,0,,0,0,0,,0,0,0
2,1966,4,1966-10-02,23-293,BOS,,NYJ,T 24-24,0,0,,0,,0,0,,0,2,33,16.50,0,0,0
3,1966,6,1966-10-23,23-314,BOS,,SDG,W 35-17,2,17,8.50,0,,0,0,,0,0,0,,0,0,0
4,1966,12,1966-12-04,23-356,BOS,,BUF,W 14-3,0,0,,0,,0,0,,0,1,13,13.00,0,0,0
5,1966,13,1966-12-11,23-363,BOS,@,HOU,W 38-14,18,64,3.56,1,,0,0,,0,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
6,1967,2,1967-09-09,24-270,BOS,@,SDG,L 14-28,0,0,,0,,0,0,,0,1,15,15.00,0,0,0
7,1967,6,1967-10-15,24-306,BOS,,MIA,W 41-10,3,17,5.67,0,,0,0,,0,0,0,,0,0,0
8,1967,7,1967-10-22,24-313,BOS,,OAK,L 14-48,0,0,,0,,0,0,,0,1,11,11.00,0,0,0
9,1967,8,1967-10-29,24-320,BOS,@,NYJ,L 23-30,3,4,1.33,0,,0,0,,0,0,0,,0,0,0
10,1967,9,1967-11-05,24-327,BOS,,HOU,W 18-7,11,45,4.09,0,,1,9,9.00,0,1,0,0.00,0,0,0
11,1967,10,1967-11-12,24-334,BOS,,KAN,L 10-33,5,15,3.00,0,,0,0,,0,0,0,,0,0,0
12,1967,12,1967-11-26,24-348,BOS,@,HOU,L 6-27,1,9,9.00,0,,1,-2,-2.00,0,0,0,,0,0,0
13,1967,13,1967-12-09,24-361,BOS,,BUF,L 16-44,1,11,11.00,0,,1,42,42.00,0,0,0,,0,0,0
14,1967,14,1967-12-17,25-004,BOS,@,MIA,L 32-41,4,-1,-0.25,0,,3,55,18.33,1,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
15,1968,1,1968-09-08,25-270,BUF,,BOS,L 7-16,6,18,3.00,0,,0,0,,0,0,0,,0,0,0
16,1968,2,1968-09-15,25-277,BUF,,OAK,L 6-48,4,25,6.25,0,,2,25,12.50,1,0,0,,0,1,6
17,1968,3,1968-09-22,25-284,BUF,@,CIN,L 23-34,2,12,6.00,0,,2,9,4.50,0,0,0,,0,0,0
18,1968,4,1968-09-29,25-291,BUF,,NYJ,W 37-35,3,15,5.00,0,,0,0,,0,0,0,,0,0,0
19,1968,5,1968-10-05,25-297,BUF,,KAN,L 7-18,1,1,1.00,0,,0,0,,0,0,0,,0,0,0
20,1968,6,1968-10-12,25-304,BUF,@,MIA,T 14-14,4,19,4.75,0,,0,0,,0,0,0,,0,0,0
21,1968,7,1968-10-20,25-312,BUF,@,BOS,L 6-23,4,16,4.00,0,,2,1,0.50,0,0,0,,0,0,0
22,1968,8,1968-10-27,25-319,BUF,,HOU,L 7-30,1,0,0.00,0,,0,0,,0,0,0,,0,0,0
23,1968,9,1968-11-03,25-326,BUF,@,NYJ,L 21-25,11,30,2.73,0,,1,4,4.00,0,0,0,,0,0,0
24,1968,10,1968-11-10,25-333,BUF,,MIA,L 17-21,11,63,5.73,1,,2,21,10.50,1,0,0,,0,2,12
25,1968,11,1968-11-17,25-340,BUF,,SDG,L 6-21,6,21,3.50,0,,4,12,3.00,0,0,0,,0,0,0
26,1968,12,1968-11-24,25-347,BUF,@,DEN,L 32-34,3,6,2.00,0,,1,4,4.00,0,0,0,,0,0,0
27,1968,13,1968-11-28,25-351,BUF,@,OAK,L 10-13,10,30,3.00,0,,1,6,6.00,0,0,0,,0,0,0
28,1968,14,1968-12-07,25-360,BUF,@,HOU,L 6-35,7,16,2.29,0,,3,10,3.33,0,0,0,,0,0,0
,,,28 Games,,,,,7-19-2,123,460,3.74,2,,24,196,8.17,3,6,72,12.00,0,5,30
