
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2005,1,2005-09-11,24-213,IND,@,BAL,W 24-7,0,0,,0,0,0,0,,0,1,14,14.00,0,0,0
2,2005,2,2005-09-18,24-220,IND,,JAX,W 10-3,6,5,0.83,1,0,0,0,,0,0,0,,0,1,6
3,2005,3,2005-09-25,24-227,IND,,CLE,W 13-6,3,6,2.00,0,0,0,0,,0,3,61,20.33,0,0,0
4,2005,4,2005-10-02,24-234,IND,@,TEN,W 31-10,4,7,1.75,0,1,1,10,10.00,0,1,17,17.00,0,0,0
5,2005,5,2005-10-09,24-241,IND,@,SFO,W 28-3,0,0,,0,,0,0,,0,0,0,,0,0,0
6,2005,6,2005-10-17,24-249,IND,,STL,W 45-28,0,0,,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
7,2006,1,2006-09-10,25-212,IND,@,NYG,W 26-21,0,0,,0,,0,0,,0,0,0,,0,0,0
8,2006,2,2006-09-17,25-219,IND,,HOU,W 43-24,3,4,1.33,1,0,0,0,,0,1,21,21.00,0,1,6
9,2006,3,2006-09-24,25-226,IND,,JAX,W 21-14,0,0,,0,0,0,0,,0,1,0,0.00,0,0,0
,,,9 Games,,,,,9-0-0,16,22,1.38,2,1,1,10,10.00,0,7,113,16.14,0,2,12
