
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1960,3,1960-09-23,23-028,BUF,@,BOS,W 13-0,,2,24,12.00,0,0,0,,0,0,0
2,1960,4,1960-10-02,23-037,BUF,,LAC,L 10-24,,2,18,9.00,0,0,0,,0,0,0
3,1960,5,1960-10-16,23-051,BUF,,NYT,L 13-17,,2,19,9.50,0,0,0,,0,0,0
4,1960,6,1960-10-23,23-058,BUF,,OAK,W 38-9,,1,5,5.00,0,0,0,,0,0,0
5,1960,7,1960-10-30,23-065,BUF,,HOU,W 25-24,,2,32,16.00,0,0,0,,0,0,0
6,1960,10,1960-11-20,23-086,BUF,@,LAC,W 32-3,,2,66,33.00,1,0,0,,0,1,6
7,1960,12,1960-12-04,23-100,BUF,,BOS,W 38-14,,1,30,30.00,1,0,0,,0,1,6
8,1960,13,1960-12-11,23-107,BUF,@,HOU,L 23-31,,4,73,18.25,2,0,0,,0,2,12
9,1960,14,1960-12-18,23-114,BUF,@,DTX,L 7-24,,1,12,12.00,0,1,24,24.00,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
10,1961,2,1961-09-17,24-022,BUF,,NYT,W 41-31,,1,16,16.00,0,0,0,,0,0,0
,,,10 Games,,,,,6-4-0,,18,295,16.39,4,1,24,24.00,0,4,24
