
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1998,1,1998-09-06,25-364,CHI,,JAX,L 23-24,3,8,2.67,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
2,1998,2,1998-09-13,26-006,CHI,@,PIT,L 12-17,1,2,2.00,0,1,1,11,11.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
3,1998,3,1998-09-20,26-013,CHI,@,TAM,L 15-27,3,9,3.00,0,2,1,9,9.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
4,1998,4,1998-09-27,26-020,CHI,,MIN,L 28-31,0,0,,0,1,1,9,9.00,0,0,0,,0,0,0,,,,1,0,0.00,0,0,0
5,1998,5,1998-10-04,26-027,CHI,,DET,W 31-27,2,13,6.50,0,3,3,32,10.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
6,1998,7,1998-10-18,26-041,CHI,,DAL,W 13-12,3,17,5.67,0,1,1,9,9.00,0,0,0,,0,0,0,,,,1,18,18.00,0,0,0
7,1998,8,1998-10-25,26-048,CHI,@,TEN,W 23-20,1,1,1.00,1,1,1,15,15.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
8,1998,9,1998-11-08,26-062,CHI,,STL,L 12-20,1,14,14.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
9,1998,10,1998-11-15,26-069,CHI,@,DET,L 3-26,1,4,4.00,0,2,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
10,1998,11,1998-11-22,26-076,CHI,@,ATL,L 13-20,2,12,6.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
11,1998,12,1998-11-29,26-083,CHI,,TAM,L 17-31,2,9,4.50,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
12,1998,14,1998-12-13,26-097,CHI,@,GNB,L 20-26,0,0,,0,1,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
13,1998,15,1998-12-20,26-104,CHI,,BAL,W 24-3,6,14,2.33,1,1,1,8,8.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
14,1998,16,1998-12-27,26-111,CHI,,GNB,L 13-16,4,19,4.75,0,2,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
15,1999,9,1999-11-14,27-068,DAL,,GNB,W 27-13,14,57,4.07,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
16,1999,11,1999-11-25,27-079,DAL,,MIA,W 20-0,,,,,,,,,,,,,,,,,,,,,,,,
17,1999,12,1999-12-05,27-089,DAL,@,NWE,L 6-13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
18,2000,1,2000-09-03,27-362,SDG,@,OAK,L 6-9,23,74,3.22,1,1,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
19,2000,2,2000-09-10,28-003,SDG,,NOR,L 27-28,15,59,3.93,1,1,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,1,6
20,2000,3,2000-09-17,28-010,SDG,@,KAN,L 10-42,4,8,2.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
21,2000,7,2000-10-15,28-038,SDG,@,BUF,L 24-27,,,,,,,,,,,,,,,,,,,,,,,,
,,,21 Games,,,,,6-15-0,85,320,3.76,4,17,12,108,9.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,2,18,9.00,0,4,24
