
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1994,1,1994-09-04,23-123,DEN,,SDG,L 34-37,1,3,3.00,0,2,2,15,7.50,0,0,0,,0,0,0
2,1994,2,1994-09-11,23-130,DEN,@,NYJ,L 22-25,3,10,3.33,0,0,0,0,,0,0,0,,0,0,0
3,1994,3,1994-09-18,23-137,DEN,,RAI,L 16-48,3,14,4.67,0,1,1,9,9.00,0,1,20,20.00,0,0,0
4,1994,4,1994-09-26,23-145,DEN,@,BUF,L 20-27,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0
5,1994,5,1994-10-09,23-158,DEN,@,SEA,W 16-9,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0
6,1994,6,1994-10-17,23-166,DEN,,KAN,L 28-31,2,-2,-1.00,0,0,0,0,,0,0,0,,0,0,0
7,1994,7,1994-10-23,23-172,DEN,@,SDG,W 20-15,2,5,2.50,0,0,0,0,,0,0,0,,0,0,0
8,1994,8,1994-10-30,23-179,DEN,,CLE,W 26-14,5,16,3.20,0,0,0,0,,0,0,0,,0,0,0
9,1994,9,1994-11-06,23-186,DEN,@,RAM,L 21-27,0,0,,0,,0,0,,0,1,0,0.00,0,0,0
10,1994,10,1994-11-13,23-193,DEN,,SEA,W 17-10,4,19,4.75,0,1,1,5,5.00,0,0,0,,0,0,0
11,1994,11,1994-11-20,23-200,DEN,,ATL,W 32-28,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0
12,1994,12,1994-11-27,23-207,DEN,,CIN,W 15-13,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0
13,1994,13,1994-12-04,23-214,DEN,@,KAN,W 20-17,5,-2,-0.40,0,1,1,6,6.00,0,0,0,,0,0,0
14,1994,14,1994-12-11,23-221,DEN,@,RAI,L 13-23,6,21,3.50,0,0,0,0,,0,0,0,,0,0,0
15,1994,15,1994-12-17,23-227,DEN,@,SFO,L 19-42,6,19,3.17,1,1,1,-7,-7.00,0,1,14,14.00,0,1,6
16,1994,16,1994-12-24,23-234,DEN,,NOR,L 28-30,15,55,3.67,2,3,3,19,6.33,0,0,0,,0,2,12
,,,16 Games,,,,,7-9-0,56,168,3.00,3,9,9,47,5.22,0,3,34,11.33,0,3,18
