
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2009,1,2009-09-13,22-135,SFO,@,ARI,W 20-16,1,-3,-3.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2009,2,2009-09-20,22-142,SFO,,SEA,W 23-10,9,13,1.44,0,2,2,16,8.00,0,0,0,,0,0,0,0.0,0,0
3,2009,3,2009-09-27,22-149,SFO,@,MIN,L 24-27,25,54,2.16,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2009,4,2009-10-04,22-156,SFO,,STL,W 35-0,24,74,3.08,0,7,4,32,8.00,0,0,0,,0,0,0,0.0,0,0
5,2009,5,2009-10-11,22-163,SFO,,ATL,L 10-45,12,45,3.75,1,5,4,21,5.25,0,0,0,,0,1,6,0.0,1,0
6,2009,6,2009-10-25,22-177,SFO,@,HOU,L 21-24,2,3,1.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2009,7,2009-11-01,22-184,SFO,@,IND,L 14-18,1,8,8.00,0,1,0,0,,0,0,0,,0,0,0,0.0,0,1
8,2009,8,2009-11-08,22-191,SFO,,TEN,L 27-34,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2009,10,2009-11-22,22-205,SFO,@,GNB,L 24-30,0,0,,0,0,0,0,,0,1,13,13.00,0,0,0,0.0,0,1
10,2009,11,2009-11-29,22-212,SFO,,JAX,W 20-3,,,,,,,,,,,,,,,,,,
11,2009,12,2009-12-06,22-219,SFO,@,SEA,L 17-20,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,1
12,2009,13,2009-12-14,22-227,SFO,,ARI,W 24-9,6,16,2.67,0,2,1,7,7.00,0,2,29,14.50,0,0,0,0.0,0,0
13,2009,14,2009-12-20,22-233,SFO,@,PHI,L 13-27,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2009,16,2010-01-03,22-247,SFO,@,STL,W 28-6,2,12,6.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,14 Games,,,,,6-8-0,83,226,2.72,1,18,11,76,6.91,0,3,42,14.00,0,1,6,0.0,1,3
