
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1976,3,1976-09-26,23-253,ATL,@,CHI,W 10-0,1,5,5.00,0,,0,0,,0,1,21,21.00,0
2,1976,4,1976-10-03,23-260,ATL,,PHI,L 13-14,1,7,7.00,0,,0,0,,0,3,57,19.00,0
3,1976,5,1976-10-10,23-267,ATL,@,NOR,L 0-30,1,0,0.00,0,,1,5,5.00,0,0,0,,0
4,1976,7,1976-10-23,23-280,ATL,@,SFO,L 0-15,3,23,7.67,0,,0,0,,0,0,0,,0
5,1976,8,1976-10-31,23-288,ATL,,NOR,W 23-20,15,47,3.13,0,,1,20,20.00,0,0,0,,0
6,1976,9,1976-11-07,23-295,ATL,@,SEA,L 13-30,17,100,5.88,0,,1,4,4.00,0,0,0,,0
7,1976,10,1976-11-14,23-302,ATL,,SFO,W 21-16,31,107,3.45,0,,0,0,,0,0,0,,0
8,1976,11,1976-11-21,23-309,ATL,,DAL,W 17-10,15,17,1.13,0,,0,0,,0,1,17,17.00,0
9,1976,12,1976-11-28,23-316,ATL,@,HOU,L 14-20,3,8,2.67,0,,0,0,,0,0,0,,0
10,1976,13,1976-12-04,23-322,ATL,@,RAM,L 0-59,4,5,1.25,0,,1,8,8.00,0,2,46,23.00,0
,,,10 Games,,,,,4-6-0,91,319,3.51,0,,4,37,9.25,0,7,141,20.14,0
