
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2004,10,2004-11-21,22-321,CAR,,ARI,W 35-10,,,,,,,,,,,,,,
2,2004,11,2004-11-28,22-328,CAR,,TAM,W 21-14,0,,,,,,,,,,,,,
3,2004,12,2004-12-05,22-335,CAR,@,NOR,W 32-21,,,,,,,,,,,,,,
4,2004,13,2004-12-12,22-342,CAR,,STL,W 20-7,,,,,,,,,,,,,,
5,2004,15,2004-12-26,22-356,CAR,@,TAM,W 37-20,,,,,,,,,,,,,,
6,2004,16,2005-01-02,22-363,CAR,,NOR,L 18-21,,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
7,2005,14,2005-12-18,23-347,CAR,@,NOR,W 27-10,,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
8,2006,1,2006-09-10,24-248,TEN,,NYJ,L 16-23,,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2006,2,2006-09-17,24-255,TEN,@,SDG,L 7-40,0,0,0,,0,1,10,10.00,0,0,0,0.0,0,0
10,2006,3,2006-09-24,24-262,TEN,@,MIA,L 10-13,1,1,6,6.00,0,1,21,21.00,0,0,0,0.0,0,0
11,2006,4,2006-10-01,24-269,TEN,,DAL,L 14-45,0,0,0,,0,1,6,6.00,0,0,0,0.0,0,0
12,2006,5,2006-10-08,24-276,TEN,@,IND,L 13-14,,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2006,6,2006-10-15,24-283,TEN,@,WAS,W 25-22,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2006,7,2006-10-29,24-297,TEN,,HOU,W 28-22,,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2006,8,2006-11-05,24-304,TEN,@,JAX,L 7-37,0,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2006,10,2006-11-19,24-318,TEN,@,PHI,W 31-13,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2006,11,2006-11-26,24-325,TEN,,NYG,W 24-21,,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2006,12,2006-12-03,24-332,TEN,,IND,W 20-17,,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2006,13,2006-12-10,24-339,TEN,@,HOU,W 26-20,1,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
20,2006,14,2006-12-17,24-346,TEN,,JAX,W 24-17,0,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2006,15,2006-12-24,24-353,TEN,@,BUF,W 30-29,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2006,16,2006-12-31,24-360,TEN,,NWE,L 23-40,,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
23,2007,5,2007-10-14,25-282,TEN,@,TAM,L 10-13,0,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2007,7,2007-10-28,25-296,TEN,,OAK,W 13-9,1,0,0,,0,1,13,13.00,0,0,0,0.0,0,0
25,2007,8,2007-11-04,25-303,TEN,,CAR,W 20-7,,0,0,,0,0,0,,0,0,0,0.0,0,0
26,2007,9,2007-11-11,25-310,TEN,,JAX,L 13-28,0,0,0,,0,0,0,,0,0,0,0.0,0,0
27,2007,11,2007-11-25,25-324,TEN,@,CIN,L 6-35,,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
28,2008,2,2008-09-14,26-253,MIA,@,ARI,L 10-31,,0,0,,0,0,0,,0,0,0,0.0,0,1
29,2008,3,2008-09-21,26-260,MIA,@,NWE,W 38-13,,0,0,,0,0,0,,0,0,0,0.0,0,1
30,2008,4,2008-10-05,26-274,MIA,,SDG,W 17-10,0,0,0,,0,0,0,,0,0,0,0.0,0,0
31,2008,5,2008-10-12,26-281,MIA,@,HOU,L 28-29,1,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
32,2008,9,2008-11-09,26-309,MIA,,SEA,W 21-19,,,,,,,,,,,,,,
33,2008,10,2008-11-16,26-316,MIA,,OAK,W 17-15,,,,,,,,,,,,,,
34,2008,11,2008-11-23,26-323,MIA,,NWE,L 28-48,1,1,2,2.00,1,0,0,,0,1,6,0.0,0,0
35,2008,12,2008-11-30,26-330,MIA,@,STL,W 16-12,0,0,0,,0,0,0,,0,0,0,0.0,0,0
36,2008,13,2008-12-07,26-337,MIA,@,BUF,W 16-3,,,,,,,,,,,,,,
,,,36 Games,,,,,22-14-0,5,4,11,2.75,1,4,50,12.50,0,1,6,0.0,0,2
