
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1973,3,1973-10-01,22-156,DET,,ATL,W 31-6,4,16,4.00,0,,0,0,,0,0,0,,0,0,0
2,1973,10,1973-11-18,22-204,DET,@,CHI,W 30-7,1,3,3.00,0,,0,0,,0,0,0,,0,0,0
3,1973,13,1973-12-09,22-225,DET,,CHI,W 40-7,4,7,1.75,1,,1,4,4.00,0,0,0,,0,1,6
4,1973,14,1973-12-15,22-231,DET,@,MIA,L 7-34,2,4,2.00,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
5,1974,4,1974-10-06,23-161,DET,@,RAM,L 13-16,3,8,2.67,0,,2,25,12.50,0,0,0,,0,0,0
6,1974,6,1974-10-20,23-175,DET,@,MIN,W 20-16,0,0,,0,,0,0,,0,1,11,11.00,0,0,0
7,1974,11,1974-11-24,23-210,DET,,CHI,W 34-17,4,26,6.50,0,,0,0,,0,0,0,,0,0,0
8,1974,12,1974-11-28,23-214,DET,,DEN,L 27-31,5,15,3.00,1,,1,6,6.00,0,0,0,,0,1,6
,,,8 Games,,,,,5-3-0,23,79,3.43,2,,4,35,8.75,0,1,11,11.00,0,2,12
