
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Pnt,Yds,Y/P,Blck
1,1974,1,1974-09-15,24-074,NYG,,WAS,L 10-13,1,10,10.00,0,,0,0,,0,0,0,,0,0,0,,0
2,1974,3,1974-09-29,24-088,NYG,@,DAL,W 14-6,8,37,4.63,0,,0,0,,0,0,0,,0,0,0,,0
3,1974,4,1974-10-06,24-095,NYG,,ATL,L 7-14,2,5,2.50,0,,0,0,,0,1,18,18.00,0,0,0,,0
4,1974,5,1974-10-13,24-102,NYG,@,PHI,L 7-35,0,0,,0,,1,44,44.00,0,0,0,,0,0,0,,0
5,1974,6,1974-10-20,24-109,NYG,@,WAS,L 3-24,3,3,1.00,0,,1,0,0.00,0,0,0,,0,1,60,60.00,0
6,1974,7,1974-10-27,24-116,NYG,,DAL,L 7-21,0,0,,0,,0,0,,0,1,29,29.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Pnt,Yds,Y/P,Blck
7,1975,3,1975-10-05,25-094,NYG,@,STL,L 14-26,0,0,,0,,0,0,,0,0,0,,0,1,28,28.00,0
8,1975,4,1975-10-12,25-101,NYG,,DAL,L 7-13,0,0,,0,,0,0,,0,1,14,14.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Pnt,Yds,Y/P,Blck
9,1976,1,1976-09-12,26-071,NYG,@,WAS,L 17-19,1,-1,-1.00,0,,0,0,,0,0,0,,0,0,0,,0
,,,9 Games,,,,,1-8-0,15,54,3.60,0,,2,44,22.00,0,3,61,20.33,0,2,88,44.00,0
