
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1963,1,1963-09-08,23-082,BOS,,NYJ,W 38-14,2,10,5.00,0,,0,0,,0,0,0,,0,0,0
2,1963,3,1963-09-22,23-096,BOS,@,OAK,W 20-14,7,20,2.86,0,,0,0,,0,0,0,,0,0,0
3,1963,5,1963-10-05,23-109,BOS,@,NYJ,L 24-31,0,0,,0,,0,0,,0,1,14,14.00,0,0,0
4,1963,6,1963-10-11,23-115,BOS,,OAK,W 20-14,6,24,4.00,0,,0,0,,0,0,0,,0,0,0
5,1963,7,1963-10-18,23-122,BOS,,DEN,W 40-21,10,5,0.50,2,,3,27,9.00,0,0,0,,0,2,12
6,1963,8,1963-10-26,23-130,BOS,@,BUF,L 21-28,3,25,8.33,1,,0,0,,0,0,0,,0,1,6
7,1963,9,1963-11-01,23-136,BOS,,HOU,W 45-3,8,18,2.25,1,,0,0,,0,0,0,,0,1,6
8,1963,10,1963-11-10,23-145,BOS,,SDG,L 6-7,0,0,,0,,2,10,5.00,0,0,0,,0,0,0
9,1963,11,1963-11-17,23-152,BOS,,KAN,T 24-24,6,3,0.50,0,,1,9,9.00,0,0,0,,0,0,0
10,1963,12,1963-12-01,23-166,BOS,,BUF,W 17-7,1,0,0.00,0,,0,0,,0,1,9,9.00,0,0,0
11,1963,13,1963-12-08,23-173,BOS,@,HOU,W 46-28,6,15,2.50,1,,0,0,,0,0,0,,0,1,6
12,1963,14,1963-12-14,23-179,BOS,@,KAN,L 3-35,0,0,,0,,0,0,,0,1,10,10.00,0,0,0
,,,12 Games,,,,,7-4-1,49,120,2.45,5,,6,46,7.67,0,3,33,11.00,0,5,30
