
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2011,5,2011-10-09,24-055,MIN,,ARI,W 34-10,0,0,0,,0,0,0,,0,0.0,0,0
2,2011,6,2011-10-16,24-062,MIN,@,CHI,L 10-39,1,0,0,,0,0,0,,0,0.0,0,0
3,2011,7,2011-10-23,24-069,MIN,,GNB,L 27-33,1,0,0,,0,0,0,,0,0.0,0,0
4,2011,8,2011-10-30,24-076,MIN,@,CAR,W 24-21,1,0,0,,0,0,0,,0,0.0,0,0
5,2011,9,2011-11-14,24-091,MIN,@,GNB,L 7-45,1,1,1,1.00,0,1,6,6.00,0,0.0,0,0
6,2011,10,2011-11-20,24-097,MIN,,OAK,L 21-27,1,1,6,6.00,0,0,0,,0,0.0,0,0
7,2011,11,2011-11-27,24-104,MIN,@,ATL,L 14-24,0,0,0,,0,0,0,,0,0.0,0,0
8,2011,12,2011-12-04,24-111,MIN,,DEN,L 32-35,0,0,0,,0,0,0,,0,0.0,0,0
9,2011,13,2011-12-11,24-118,MIN,@,DET,L 28-34,,,,,,,,,,,,
10,2011,14,2011-12-18,24-125,MIN,,NOR,L 20-42,,0,0,,0,0,0,,0,0.0,0,1
11,2011,15,2011-12-24,24-131,MIN,@,WAS,W 33-26,1,0,0,,0,0,0,,0,0.0,0,0
12,2011,16,2012-01-01,24-139,MIN,,CHI,L 13-17,,,,,,,,,,,,
,,,12 Games,,,,,3-9-0,6,2,7,3.50,0,1,6,6.00,0,0.0,0,1
