
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1960,3,1960-09-25,26-069,DTX,,LAC,W 17-0,6,19,3.17,0,,0,0,,0,0,0,,0,0,0
2,1960,4,1960-10-02,26-076,DTX,,NYT,L 35-37,8,27,3.38,1,,0,0,,0,0,0,,0,1,6
3,1960,5,1960-10-09,26-083,DTX,,OAK,L 19-20,8,31,3.88,0,,1,-3,-3.00,0,0,0,,0,0,0
4,1960,6,1960-10-16,26-090,DTX,@,HOU,L 10-20,2,5,2.50,0,,0,0,,0,1,8,8.00,0,0,0
5,1960,7,1960-10-30,26-104,DTX,@,DEN,W 17-14,0,0,,0,,0,0,,0,1,21,21.00,0,0,0
6,1960,8,1960-11-06,26-111,DTX,@,BUF,W 45-28,6,19,3.17,0,,0,0,,0,0,0,,0,0,0
7,1960,9,1960-11-13,26-118,DTX,,DEN,W 34-7,3,34,11.33,0,,1,20,20.00,0,0,0,,0,0,0
8,1960,11,1960-11-24,26-129,DTX,@,NYT,L 35-41,1,2,2.00,0,,0,0,,0,0,0,,0,0,0
9,1960,12,1960-12-04,26-139,DTX,,HOU,W 24-0,1,6,6.00,0,,1,21,21.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
10,1961,1,1961-09-10,27-054,DTX,,SDG,L 10-26,3,23,7.67,0,,0,0,,0,0,0,,0,0,0
11,1961,2,1961-09-24,27-068,DTX,@,OAK,W 42-35,6,18,3.00,1,,1,16,16.00,0,0,0,,0,1,6
12,1961,3,1961-10-01,27-075,DTX,,HOU,W 26-21,5,16,3.20,0,,0,0,,0,0,0,,0,0,0
13,1961,4,1961-10-08,27-082,DTX,@,DEN,W 19-12,12,23,1.92,1,,0,0,,0,0,0,,0,1,6
14,1961,5,1961-10-15,27-089,DTX,@,BUF,L 24-27,0,0,,0,,1,22,22.00,0,0,0,,0,0,0
15,1961,6,1961-10-22,27-096,DTX,@,HOU,L 7-38,0,0,,0,,1,9,9.00,0,0,0,,0,0,0
16,1961,7,1961-10-29,27-103,DTX,,BOS,L 17-18,5,9,1.80,0,,1,29,29.00,0,0,0,,0,0,0
17,1961,8,1961-11-03,27-108,DTX,@,BOS,L 21-28,6,12,2.00,0,,2,59,29.50,1,0,0,,0,1,6
18,1961,9,1961-11-12,27-117,DTX,,BUF,L 20-30,9,31,3.44,0,,1,4,4.00,0,0,0,,0,0,0
19,1961,10,1961-11-19,27-124,DTX,@,SDG,L 14-24,3,0,0.00,0,,3,32,10.67,0,0,0,,0,0,0
20,1961,11,1961-11-26,27-131,DTX,,OAK,W 43-11,6,79,13.17,0,,1,14,14.00,0,0,0,,0,0,0
21,1961,12,1961-12-03,27-138,DTX,@,NYT,L 7-28,4,16,4.00,0,,2,20,10.00,1,0,0,,0,1,6
22,1961,13,1961-12-10,27-145,DTX,,DEN,W 49-21,8,19,2.38,1,,0,0,,0,0,0,,0,1,6
23,1961,14,1961-12-17,27-152,DTX,,NYT,W 35-24,4,17,4.25,0,,1,4,4.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
24,1962,1,1962-09-07,28-051,DEN,,SDG,W 30-21,5,16,3.20,0,,5,50,10.00,1,0,0,,0,1,6
25,1962,2,1962-09-15,28-059,DEN,@,BUF,W 23-20,0,0,,0,,2,20,10.00,0,0,0,,0,0,0
