
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1989,1,1989-09-10,22-081,PHI,,SEA,W 31-7,2,6,3.00,0,,0,0,,0,0,0
2,1989,2,1989-09-17,22-088,PHI,@,WAS,W 42-37,0,0,,0,,0,0,,0,,
3,1989,3,1989-09-24,22-095,PHI,,SFO,L 28-38,0,0,,0,,0,0,,0,,
4,1989,4,1989-10-02,22-103,PHI,@,CHI,L 13-27,0,0,,0,,0,0,,0,,
5,1989,5,1989-10-08,22-109,PHI,,NYG,W 21-19,0,0,,0,,0,0,,0,,
6,1989,6,1989-10-15,22-116,PHI,@,PHO,W 17-5,0,0,,0,,1,5,5.00,0,0,0
7,1989,7,1989-10-22,22-123,PHI,,RAI,W 10-7,0,0,,0,,0,0,,0,,
8,1989,8,1989-10-29,22-130,PHI,@,DEN,W 28-24,1,3,3.00,0,,0,0,,0,0,0
9,1989,9,1989-11-05,22-137,PHI,@,SDG,L 17-20,14,77,5.50,0,,5,74,14.80,0,0,0
10,1989,10,1989-11-12,22-144,PHI,,WAS,L 3-10,1,0,0.00,0,,2,23,11.50,0,0,0
11,1989,11,1989-11-19,22-151,PHI,,MIN,W 10-9,3,3,1.00,0,,3,28,9.33,0,0,0
12,1989,12,1989-11-23,22-155,PHI,@,DAL,W 27-0,2,11,5.50,0,,1,9,9.00,0,0,0
13,1989,13,1989-12-03,22-165,PHI,@,NYG,W 24-17,2,0,0.00,0,,0,0,,0,0,0
14,1989,14,1989-12-10,22-172,PHI,,DAL,W 20-10,0,0,,0,,0,0,,0,,
15,1989,15,1989-12-18,22-180,PHI,@,NOR,L 20-30,0,0,,0,,0,0,,0,,
16,1989,16,1989-12-24,22-186,PHI,,PHO,W 31-14,7,27,3.86,0,,5,41,8.20,1,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
17,1990,1,1990-09-09,23-080,PHI,@,NYG,L 20-27,1,2,2.00,0,,4,33,8.25,0,0,0
18,1990,2,1990-09-16,23-087,PHI,,PHO,L 21-23,6,29,4.83,0,,1,6,6.00,0,0,0
19,1990,3,1990-09-23,23-094,PHI,@,RAM,W 27-21,1,2,2.00,1,,0,0,,0,1,6
20,1990,6,1990-10-21,23-122,PHI,@,WAS,L 7-13,0,0,,0,,0,0,,0,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
21,1991,1,1991-09-01,24-072,PHI,@,GNB,W 20-3,0,0,,0,,,,,,,
22,1991,2,1991-09-08,24-079,PHI,,PHO,L 10-26,2,7,3.50,0,,0,0,,0,0,0
23,1991,3,1991-09-15,24-086,PHI,@,DAL,W 24-0,1,1,1.00,1,,0,0,,0,1,6
24,1991,4,1991-09-22,24-093,PHI,,PIT,W 23-14,5,7,1.40,1,,0,0,,0,1,6
25,1991,5,1991-09-30,24-101,PHI,@,WAS,L 0-23,0,0,,0,,,,,,,
26,1991,6,1991-10-06,24-107,PHI,@,TAM,L 13-14,1,0,0.00,0,,0,0,,0,0,0
27,1991,7,1991-10-13,24-114,PHI,,NOR,L 6-13,0,0,,0,,,,,,,
28,1991,8,1991-10-27,24-128,PHI,,SFO,L 7-23,0,0,,0,,,,,,,
29,1991,9,1991-11-04,24-136,PHI,,NYG,W 30-7,3,12,4.00,0,,0,0,,0,0,0
30,1991,10,1991-11-10,24-142,PHI,@,CLE,W 32-30,0,0,,0,,,,,,,
31,1991,11,1991-11-17,24-149,PHI,,CIN,W 17-10,0,0,,0,,,,,,,
32,1991,12,1991-11-24,24-156,PHI,@,PHO,W 34-14,0,0,,0,,,,,,,
33,1991,13,1991-12-02,24-164,PHI,@,HOU,W 13-6,0,0,,0,,,,,,,
34,1991,14,1991-12-08,24-170,PHI,@,NYG,W 19-14,0,0,,0,,,,,,,
35,1991,15,1991-12-15,24-177,PHI,,DAL,L 13-25,0,0,,0,,,,,,,
36,1991,16,1991-12-22,24-184,PHI,,WAS,W 24-22,0,0,,0,,,,,,,
,,,36 Games,,,,,22-14-0,52,187,3.60,3,,22,219,9.95,1,4,24
