
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1966,1,1966-09-11,21-226,RAM,@,ATL,W 19-14,0,0,,0,,0,0,,0,1,9,9.00,0,0,0
2,1966,2,1966-09-16,21-231,RAM,,CHI,W 31-17,0,0,,0,,0,0,,0,2,33,16.50,0,0,0
3,1966,6,1966-10-16,21-261,RAM,@,MIN,L 7-35,0,0,,0,,0,0,,0,1,0,0.00,0,0,0
4,1966,7,1966-10-23,21-268,RAM,@,CHI,L 10-17,0,0,,0,,0,0,,0,1,19,19.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
5,1968,1,1968-09-16,23-232,RAM,@,STL,W 24-13,1,1,1.00,0,,0,0,,0,0,0,,0,0,0
6,1968,2,1968-09-22,23-238,RAM,,PIT,W 45-10,3,1,0.33,0,,0,0,,0,0,0,,0,0,0
7,1968,3,1968-09-29,23-245,RAM,@,CLE,W 24-6,1,0,0.00,0,,0,0,,0,0,0,,0,0,0
8,1968,4,1968-10-06,23-252,RAM,,SFO,W 24-10,10,30,3.00,1,,2,-1,-0.50,0,0,0,,0,1,6
9,1968,5,1968-10-13,23-259,RAM,@,GNB,W 16-14,18,36,2.00,0,,0,0,,0,0,0,,0,0,0
10,1968,6,1968-10-20,23-266,RAM,,ATL,W 27-14,12,33,2.75,0,,6,38,6.33,0,0,0,,0,0,0
11,1968,8,1968-11-03,23-280,RAM,,DET,W 10-7,9,32,3.56,0,,0,0,,0,0,0,,0,0,0
12,1968,9,1968-11-10,23-287,RAM,@,ATL,W 17-10,1,3,3.00,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
13,1969,1,1969-09-21,24-236,WAS,@,NOR,W 26-20,4,4,1.00,0,,0,0,,0,0,0,,0,0,0
14,1969,2,1969-09-28,24-243,WAS,@,CLE,L 23-27,1,5,5.00,0,,1,17,17.00,0,0,0,,0,0,0
15,1969,7,1969-11-02,24-278,WAS,@,BAL,L 17-41,0,0,,0,,1,69,69.00,1,0,0,,0,1,6
16,1969,9,1969-11-16,24-292,WAS,,DAL,L 28-41,0,0,,0,,0,0,,0,4,82,20.50,0,0,0
17,1969,10,1969-11-23,24-299,WAS,,ATL,W 27-20,1,9,9.00,0,,0,0,,0,2,21,10.50,0,0,0
18,1969,11,1969-11-30,24-306,WAS,,RAM,L 13-24,0,0,,0,,0,0,,0,1,24,24.00,0,0,0
19,1969,12,1969-12-07,24-313,WAS,@,PHI,W 34-29,0,0,,0,,0,0,,0,2,38,19.00,0,0,0
20,1969,13,1969-12-14,24-320,WAS,,NOR,W 17-14,0,0,,0,,0,0,,0,1,19,19.00,0,0,0
21,1969,14,1969-12-21,24-327,WAS,@,DAL,L 10-20,0,0,,0,,0,0,,0,1,23,23.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
22,1970,6,1970-10-25,25-270,WAS,,CIN,W 20-0,6,48,8.00,0,,0,0,,0,0,0,,0,0,0
23,1970,7,1970-11-01,25-277,WAS,@,DEN,W 19-3,3,10,3.33,0,,0,0,,0,0,0,,0,0,0
24,1970,9,1970-11-15,25-291,WAS,@,NYG,L 33-35,0,0,,0,,0,0,,0,2,51,25.50,0,0,0
25,1970,10,1970-11-22,25-298,WAS,,DAL,L 21-45,1,12,12.00,0,,1,3,3.00,0,3,27,9.00,0,0,0
26,1970,11,1970-11-29,25-305,WAS,,NYG,L 24-27,4,10,2.50,0,,2,14,7.00,0,0,0,,0,0,0
27,1970,12,1970-12-06,25-312,WAS,@,DAL,L 0-34,7,22,3.14,0,,1,20,20.00,0,0,0,,0,0,0
,,,27 Games,,,,,16-11-0,82,256,3.12,1,,14,160,11.43,1,21,346,16.48,0,2,12
