
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1977,3,1977-10-02,22-198,CHI,,NOR,L 24-42,0,0,,0,,0,0,,0,2,38,19.00,0,0,0
2,1977,7,1977-10-30,22-226,CHI,@,GNB,W 26-0,7,60,8.57,0,,0,0,,0,0,0,,0,0,0
3,1977,8,1977-11-06,22-233,CHI,@,HOU,L 0-47,10,29,2.90,0,,3,5,1.67,0,0,0,,0,0,0
4,1977,9,1977-11-13,22-240,CHI,,KAN,W 28-27,14,53,3.79,0,,1,20,20.00,0,0,0,,0,0,0
5,1977,10,1977-11-20,22-247,CHI,,MIN,W 10-7,15,60,4.00,0,,1,5,5.00,0,0,0,,0,0,0
6,1977,11,1977-11-24,22-251,CHI,@,DET,W 31-14,4,8,2.00,0,,0,0,,0,0,0,,0,0,0
7,1977,14,1977-12-18,22-275,CHI,@,NYG,W 12-9,6,23,3.83,1,,1,2,2.00,0,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
8,1978,2,1978-09-10,23-176,CHI,@,SFO,W 16-13,0,0,,0,,0,0,,0,1,9,9.00,0,0,0
9,1978,3,1978-09-17,23-183,CHI,@,DET,W 19-0,1,9,9.00,0,,0,0,,0,0,0,,0,0,0
10,1978,5,1978-10-01,23-197,CHI,,OAK,L 19-25,0,0,,0,,0,0,,0,1,19,19.00,0,0,0
11,1978,10,1978-11-05,23-232,CHI,,SEA,L 29-31,2,8,4.00,0,,1,1,1.00,0,0,0,,0,0,0
12,1978,11,1978-11-12,23-239,CHI,@,MIN,L 14-17,0,0,,0,,0,0,,0,1,20,20.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
13,1979,1,1979-09-02,24-168,CHI,,GNB,W 6-3,3,11,3.67,0,,1,-4,-4.00,0,0,0,,0,0,0
14,1979,5,1979-09-30,24-196,CHI,,TAM,L 13-17,3,8,2.67,0,,2,22,11.00,0,0,0,,0,0,0
15,1979,6,1979-10-07,24-203,CHI,@,BUF,W 7-0,17,74,4.35,0,,2,13,6.50,0,0,0,,0,0,0
16,1979,7,1979-10-14,24-210,CHI,,NWE,L 7-27,4,22,5.50,0,,2,20,10.00,0,0,0,,0,0,0
17,1979,8,1979-10-21,24-217,CHI,@,MIN,L 27-30,1,4,4.00,0,,0,0,,0,0,0,,0,0,0
18,1979,10,1979-11-04,24-231,CHI,,DET,W 35-7,2,5,2.50,0,,1,5,5.00,0,0,0,,0,0,0
19,1979,11,1979-11-11,24-238,CHI,,RAM,W 27-23,2,2,1.00,0,,0,0,,0,0,0,,0,0,0
20,1979,12,1979-11-18,24-245,CHI,,NYJ,W 23-13,1,4,4.00,0,,0,0,,0,0,0,,0,0,0
21,1979,16,1979-12-16,24-273,CHI,,STL,W 42-6,2,2,1.00,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
22,1980,3,1980-09-21,25-187,CHI,,MIN,L 14-34,0,0,,0,,1,8,8.00,0,0,0,,0,0,0
