
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1984,2,1984-09-09,23-029,CIN,,KAN,L 22-27,4,7,1.75,0,,1,10,10.00,0,0,0,,0
2,1984,3,1984-09-16,23-036,CIN,@,NYJ,L 23-43,0,0,,0,,0,0,,0,0,0,,0
3,1984,5,1984-10-01,23-051,CIN,@,PIT,L 17-38,0,0,,0,,0,0,,0,1,32,32.00,0
4,1984,6,1984-10-07,23-057,CIN,,HOU,W 13-3,0,0,,0,,0,0,,0,0,0,,0
5,1984,7,1984-10-14,23-064,CIN,@,NWE,L 14-20,0,0,,0,,0,0,,0,1,18,18.00,0
6,1984,8,1984-10-21,23-071,CIN,,CLE,W 12-9,0,0,,0,,0,0,,0,2,12,6.00,0
7,1984,9,1984-10-28,23-078,CIN,@,HOU,W 31-13,0,0,,0,,0,0,,0,1,23,23.00,0
8,1984,10,1984-11-04,23-085,CIN,@,SFO,L 17-23,0,0,,0,,0,0,,0,0,0,,0
9,1984,11,1984-11-11,23-092,CIN,,PIT,W 22-20,0,0,,0,,0,0,,0,1,8,8.00,0
10,1984,12,1984-11-18,23-099,CIN,,SEA,L 6-26,0,0,,0,,0,0,,0,0,0,,0
11,1984,13,1984-11-25,23-106,CIN,,ATL,W 35-14,2,3,1.50,0,,1,1,1.00,0,0,0,,0
12,1984,14,1984-12-02,23-113,CIN,@,CLE,W 20-17,0,0,,0,,0,0,,0,0,0,,0
13,1984,16,1984-12-16,23-127,CIN,,BUF,W 52-21,1,1,1.00,0,,0,0,,0,0,0,,0
,,,13 Games,,,,,7-6-0,7,11,1.57,0,,2,11,5.50,0,6,93,15.50,0
