
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1987,3,1987-10-04,23-105,RAM,@,NOR,L 10-37,8,37,4.63,0,,0,0,,0,0,0
2,1987,4,1987-10-11,23-112,RAM,,PIT,W 31-21,1,4,4.00,0,,1,6,6.00,0,0,0
3,1987,5,1987-10-18,23-119,RAM,@,ATL,L 20-24,3,28,9.33,0,,3,12,4.00,1,1,6
4,1987,7,1987-11-01,23-133,RAM,,SFO,L 10-31,1,1,1.00,0,,2,11,5.50,0,0,0
5,1987,11,1987-11-29,23-161,RAM,,TAM,W 35-3,7,22,3.14,0,,1,5,5.00,0,0,0
6,1987,12,1987-12-06,23-168,RAM,@,DET,W 37-16,2,4,2.00,0,,1,4,4.00,1,1,6
7,1987,13,1987-12-13,23-175,RAM,,ATL,W 33-0,8,32,4.00,0,,0,0,,0,0,0
8,1987,15,1987-12-27,23-189,RAM,@,SFO,L 0-48,5,10,2.00,0,,0,0,,0,0,0
,,,8 Games,,,,,4-4-0,35,138,3.94,0,,8,38,4.75,2,2,12
