
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1975,13,1975-12-14,22-264,DEN,,PHI,W 25-10,1,1,1.00,0,,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
2,1976,1,1976-09-12,23-171,DEN,@,CIN,L 7-17,1,3,3.00,0,,0,0,,0,0,0,,0
3,1976,3,1976-09-26,23-185,DEN,,CLE,W 44-13,2,3,1.50,0,,0,0,,0,0,0,,0
4,1976,4,1976-10-03,23-192,DEN,,SDG,W 26-0,8,18,2.25,0,,3,31,10.33,0,0,0,,0
5,1976,9,1976-11-07,23-227,DEN,,TAM,W 48-13,1,1,1.00,0,,0,0,,0,1,14,14.00,0
6,1976,13,1976-12-05,23-255,DEN,,KAN,W 17-16,0,0,,0,,1,11,11.00,0,1,8,8.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
7,1977,3,1977-10-02,24-191,BUF,@,BAL,L 14-17,1,0,0.00,0,,0,0,,0,0,0,,0
8,1977,8,1977-11-06,24-226,BUF,@,NWE,W 24-14,0,0,,0,,0,0,,0,1,9,9.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
9,1978,3,1978-09-17,25-176,BUF,@,MIA,L 24-31,0,0,,0,,0,0,,0,2,29,14.50,0
10,1978,9,1978-10-29,25-218,BUF,@,CLE,L 20-41,0,0,,0,,0,0,,0,1,0,0.00,0
11,1978,11,1978-11-12,25-232,BUF,,MIA,L 24-25,0,0,,0,,0,0,,0,1,12,12.00,0
12,1978,15,1978-12-10,25-260,BUF,@,NWE,L 24-26,0,0,,0,,0,0,,0,1,19,19.00,0
,,,12 Games,,,,,6-6-0,14,26,1.86,0,,4,42,10.50,0,8,91,11.38,0
