
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1976,2,1976-09-19,22-279,DET,,ATL,W 24-10,13,51,3.92,0,,0,0,,0,0,0
2,1976,3,1976-09-26,22-286,DET,,MIN,L 9-10,8,28,3.50,0,,0,0,,0,0,0
3,1976,4,1976-10-03,22-293,DET,@,GNB,L 14-24,5,12,2.40,0,,1,3,3.00,0,0,0
4,1976,6,1976-10-17,22-307,DET,@,WAS,L 7-20,2,14,7.00,0,,0,0,,0,0,0
5,1976,7,1976-10-24,22-314,DET,@,SEA,W 41-14,14,48,3.43,0,,5,38,7.60,1,1,6
6,1976,8,1976-10-31,22-321,DET,,GNB,W 27-6,17,88,5.18,1,,2,8,4.00,0,1,6
7,1976,9,1976-11-07,22-328,DET,@,MIN,L 23-31,22,116,5.27,2,,6,44,7.33,0,2,12
8,1976,10,1976-11-14,22-335,DET,@,NOR,L 16-17,17,72,4.24,0,,3,17,5.67,0,0,0
9,1976,11,1976-11-21,22-342,DET,,CHI,W 14-10,19,94,4.95,0,,1,0,0.00,0,0,0
10,1976,12,1976-11-25,22-346,DET,,BUF,W 27-14,12,24,2.00,0,,0,0,,0,0,0
11,1976,13,1976-12-05,22-356,DET,@,NYG,L 10-24,12,59,4.92,1,,1,3,3.00,0,1,6
12,1976,14,1976-12-11,22-362,DET,,RAM,L 17-20,14,53,3.79,0,,4,17,4.25,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
13,1978,1,1978-09-03,24-262,DET,,GNB,L 7-13,2,-1,-0.50,0,,0,0,,0,0,0
14,1978,2,1978-09-09,24-268,DET,@,TAM,W 15-7,3,17,5.67,0,,0,0,,0,0,0
15,1978,5,1978-10-01,24-290,DET,@,GNB,L 14-35,1,4,4.00,0,,0,0,,0,0,0
16,1978,6,1978-10-08,24-297,DET,,WAS,L 19-21,5,17,3.40,0,,1,7,7.00,0,0,0
17,1978,8,1978-10-22,24-311,DET,,SDG,W 31-14,9,28,3.11,1,,0,0,,0,1,6
18,1978,9,1978-10-29,24-318,DET,@,CHI,W 21-17,2,3,1.50,0,,0,0,,0,0,0
19,1978,10,1978-11-05,24-325,DET,@,MIN,L 7-17,4,10,2.50,0,,0,0,,0,0,0
20,1978,11,1978-11-12,24-332,DET,,TAM,W 34-23,6,33,5.50,0,,0,0,,0,0,0
21,1978,12,1978-11-19,24-339,DET,@,OAK,L 17-29,1,4,4.00,0,,0,0,,0,0,0
22,1978,13,1978-11-23,24-343,DET,,DEN,W 17-14,4,20,5.00,0,,0,0,,0,0,0
23,1978,14,1978-12-03,24-353,DET,@,STL,L 14-21,3,5,1.67,0,,0,0,,0,0,0
24,1978,15,1978-12-09,24-359,DET,,MIN,W 45-14,6,29,4.83,0,,0,0,,0,0,0
25,1978,16,1978-12-17,25-002,DET,,SFO,W 33-14,8,9,1.13,0,,1,9,9.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
26,1979,1,1979-09-01,25-260,DET,@,TAM,L 16-31,2,3,1.50,0,,0,0,,0,0,0
27,1979,2,1979-09-09,25-268,DET,,WAS,L 24-27,1,2,2.00,0,,0,0,,0,0,0
28,1979,3,1979-09-16,25-275,DET,@,NYJ,L 10-31,2,5,2.50,0,,0,0,,0,0,0
29,1979,4,1979-09-23,25-282,DET,,ATL,W 24-23,1,2,2.00,0,,0,0,,0,0,0
30,1979,5,1979-09-30,25-289,DET,,MIN,L 10-13,2,11,5.50,0,,0,0,,0,0,0
31,1979,6,1979-10-07,25-296,DET,@,NWE,L 17-24,2,6,3.00,0,,0,0,,0,0,0
32,1979,7,1979-10-14,25-303,DET,@,GNB,L 16-24,3,-2,-0.67,0,,0,0,,0,0,0
33,1979,9,1979-10-28,25-317,DET,,BUF,L 17-20,4,12,3.00,0,,0,0,,0,0,0
34,1979,10,1979-11-04,25-324,DET,@,CHI,L 7-35,3,9,3.00,0,,0,0,,0,0,0
35,1979,11,1979-11-11,25-331,DET,,TAM,L 14-16,1,3,3.00,0,,0,0,,0,0,0
36,1979,13,1979-11-22,25-342,DET,,CHI,W 20-0,1,2,2.00,0,,0,0,,0,0,0
37,1979,15,1979-12-09,25-359,DET,,MIA,L 10-28,1,2,2.00,0,,0,0,,0,0,0
,,,37 Games,,,,,14-23-0,232,892,3.84,5,,25,146,5.84,1,6,36
