
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1966,1,1966-09-11,22-152,KAN,@,BUF,W 42-20,7,10,1.43,0,,0,0,,0,0,0,,0,0,0,,,,2,53,26.50,0,3,86,28.67,1,1,6
2,1966,2,1966-09-18,22-159,KAN,@,OAK,W 32-10,10,83,8.30,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6
3,1966,3,1966-09-25,22-166,KAN,@,BOS,W 43-24,5,27,5.40,0,,1,9,9.00,1,0,0,,0,0,0,,,,2,54,27.00,0,1,0,0.00,0,1,6
4,1966,4,1966-10-02,22-173,KAN,,BUF,L 14-29,3,10,3.33,0,,0,0,,0,0,0,,0,0,0,,,,1,16,16.00,0,2,3,1.50,0,0,0
5,1966,5,1966-10-08,22-179,KAN,,DEN,W 37-10,10,84,8.40,2,,1,11,11.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,24,24.00,0,4,21,5.25,0,2,12
6,1966,6,1966-10-16,22-187,KAN,,OAK,L 13-34,3,-2,-0.67,0,,0,0,,0,0,0,,0,0,0,,,,1,26,26.00,0,1,4,4.00,0,0,0
7,1966,7,1966-10-23,22-194,KAN,@,DEN,W 56-10,11,91,8.27,0,,0,0,,0,0,0,,0,0,0,,,,2,33,16.50,0,1,4,4.00,0,0,0
8,1966,8,1966-10-30,22-201,KAN,,HOU,W 48-23,9,102,11.33,1,,0,0,,0,0,0,,0,0,0,,,,1,20,20.00,0,2,2,1.00,0,1,6
9,1966,9,1966-11-06,22-208,KAN,,SDG,W 24-14,14,53,3.79,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
10,1966,10,1966-11-13,22-215,KAN,,MIA,W 34-16,13,50,3.85,0,,0,0,,0,0,0,,0,0,0,,,,1,17,17.00,0,0,0,,0,0,0
11,1966,11,1966-11-20,22-222,KAN,,BOS,T 27-27,7,8,1.14,0,,2,39,19.50,0,0,0,,0,0,0,,,,3,80,26.67,0,0,0,,0,0,0
12,1966,12,1966-11-27,22-229,KAN,@,NYJ,W 32-24,16,50,3.13,1,,4,71,17.75,0,0,0,,0,0,0,,,,0,0,,0,1,0,0.00,0,1,6
13,1966,13,1966-12-11,22-243,KAN,@,MIA,W 19-18,14,74,5.29,0,,6,51,8.50,0,0,0,,0,0,0,,,,0,0,,0,2,19,9.50,0,0,0
14,1966,14,1966-12-18,22-250,KAN,@,SDG,W 27-17,25,161,6.44,1,,1,-6,-6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
15,1967,1,1967-09-09,23-150,KAN,@,HOU,W 25-20,19,80,4.21,1,,6,42,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6
