
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1997,1,1997-08-31,21-220,ATL,@,DET,L 17-28,3,1,0.33,0,1,0,0,,0,2,39,19.50,0,0,0
2,1997,2,1997-09-07,21-227,ATL,,CAR,L 6-9,1,2,2.00,0,0,0,0,,0,3,59,19.67,0,0,0
3,1997,3,1997-09-14,21-234,ATL,,OAK,L 31-36,4,84,21.00,0,2,2,30,15.00,0,0,0,,0,0,0
4,1997,4,1997-09-21,21-241,ATL,@,SFO,L 7-34,5,1,0.20,0,0,0,0,,0,5,91,18.20,0,0,0
5,1997,5,1997-09-28,21-248,ATL,,DEN,L 21-29,8,67,8.38,0,1,1,5,5.00,0,3,46,15.33,0,0,0
6,1997,6,1997-10-12,21-262,ATL,@,NOR,W 23-17,6,24,4.00,0,1,1,3,3.00,0,1,22,22.00,0,0,0
7,1997,7,1997-10-19,21-269,ATL,,SFO,L 28-35,1,6,6.00,0,0,0,0,,0,4,107,26.75,0,0,0
8,1997,8,1997-10-26,21-276,ATL,@,CAR,L 12-21,2,3,1.50,0,0,0,0,,0,3,84,28.00,0,0,0
9,1997,9,1997-11-02,21-283,ATL,,STL,W 34-31,1,4,4.00,0,0,0,0,,0,1,33,33.00,0,0,0
10,1997,10,1997-11-09,21-290,ATL,,TAM,L 10-31,3,34,11.33,0,0,0,0,,0,3,53,17.67,0,0,0
11,1997,11,1997-11-16,21-297,ATL,@,STL,W 27-21,4,9,2.25,0,0,0,0,,0,3,62,20.67,0,0,0
12,1997,12,1997-11-23,21-304,ATL,,NOR,W 20-3,6,14,2.33,0,0,0,0,,0,1,24,24.00,0,0,0
13,1997,13,1997-11-30,21-311,ATL,@,SEA,W 24-17,2,7,3.50,0,0,0,0,,0,3,145,48.33,1,1,6
14,1997,14,1997-12-07,21-318,ATL,@,SDG,W 14-3,3,3,1.00,0,1,1,5,5.00,0,1,99,99.00,1,1,6
15,1997,15,1997-12-14,21-325,ATL,,PHI,W 20-17,4,76,19.00,0,1,1,10,10.00,1,4,70,17.50,0,1,6
16,1997,16,1997-12-21,21-332,ATL,@,ARI,L 26-29,0,0,,0,0,0,0,,0,3,53,17.67,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
17,1999,1,1999-09-12,23-232,ATL,,MIN,L 14-17,3,9,3.00,0,0,0,0,,0,0,0,,0,0,0
18,1999,2,1999-09-20,23-240,ATL,@,DAL,L 7-24,19,76,4.00,0,5,1,7,7.00,0,0,0,,0,0,0
19,1999,3,1999-09-26,23-246,ATL,@,STL,L 7-35,17,50,2.94,0,5,2,40,20.00,0,0,0,,0,0,0
20,1999,4,1999-10-03,23-253,ATL,,BAL,L 13-19,14,20,1.43,0,2,2,14,7.00,0,0,0,,0,0,0
21,1999,5,1999-10-10,23-260,ATL,@,NOR,W 20-17,10,32,3.20,0,0,0,0,,0,0,0,,0,0,0
22,1999,6,1999-10-17,23-267,ATL,,STL,L 13-41,5,3,0.60,0,1,1,23,23.00,0,0,0,,0,0,0
23,1999,7,1999-10-25,23-275,ATL,@,PIT,L 9-13,4,6,1.50,0,0,0,0,,0,0,0,,0,0,0
24,1999,8,1999-10-31,23-281,ATL,,CAR,W 27-20,14,44,3.14,0,1,1,-2,-2.00,0,0,0,,0,0,0
25,1999,9,1999-11-07,23-288,ATL,,JAX,L 7-30,4,11,2.75,0,2,2,7,3.50,0,0,0,,0,0,0
26,1999,10,1999-11-21,23-302,ATL,@,TAM,L 10-19,4,3,0.75,0,0,0,0,,0,0,0,,0,0,0
27,1999,15,1999-12-26,23-337,ATL,,ARI,W 37-14,26,102,3.92,1,0,0,0,,0,0,0,,0,1,6
28,1999,16,2000-01-03,23-345,ATL,,SFO,W 34-29,16,27,1.69,0,2,1,4,4.00,0,0,0,,0,0,0
,,,28 Games,,,,,11-17-0,189,718,3.80,1,25,16,146,9.13,1,40,987,24.68,2,4,24
