
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1984,1,1984-09-02,22-279,PHI,@,NYG,L 27-28,6,25,4.17,0,,0,0,,0,1,20,20.00,0
2,1984,2,1984-09-09,22-286,PHI,,MIN,W 19-17,4,10,2.50,0,,2,22,11.00,0,0,0,,0
3,1984,3,1984-09-16,22-293,PHI,@,DAL,L 17-23,1,3,3.00,0,,0,0,,0,0,0,,0
4,1984,4,1984-09-23,22-300,PHI,,SFO,L 9-21,0,0,,0,,0,0,,0,0,0,,0
5,1984,5,1984-09-30,22-307,PHI,@,WAS,L 0-20,2,5,2.50,0,,0,0,,0,0,0,,0
6,1984,15,1984-12-09,23-011,PHI,,NWE,W 27-17,1,-2,-2.00,0,,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
7,1985,7,1985-10-20,23-326,SEA,@,DEN,L 10-13,0,0,,0,,0,0,,0,,,,
8,1985,8,1985-10-27,23-333,SEA,@,NYJ,L 14-17,3,1,0.33,0,,2,4,2.00,0,0,0,,0
9,1985,9,1985-11-03,23-340,SEA,,RAI,W 33-3,2,4,2.00,0,,1,3,3.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
10,1987,3,1987-10-05,25-311,SFO,@,NYG,W 41-21,7,48,6.86,0,,1,7,7.00,0,0,0,,0
,,,10 Games,,,,,4-6-0,26,94,3.62,0,,6,36,6.00,0,1,20,20.00,0
