
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1991,1,1991-09-01,24-000,TAM,@,NYJ,L 13-16,1,10,10.00,0
2,1991,2,1991-09-08,24-007,TAM,,CHI,L 20-21,0,0,,0
3,1991,3,1991-09-15,24-014,TAM,@,GNB,L 13-15,0,0,,0
4,1991,4,1991-09-22,24-021,TAM,,BUF,L 10-17,1,18,18.00,0
5,1991,5,1991-09-29,24-028,TAM,@,DET,L 3-31,4,52,13.00,0
6,1991,6,1991-10-06,24-035,TAM,,PHI,W 14-13,0,0,,0
7,1991,7,1991-10-20,24-049,TAM,@,NOR,L 7-23,0,0,,0
8,1991,8,1991-10-27,24-056,TAM,,GNB,L 0-27,0,0,,0
9,1991,9,1991-11-03,24-063,TAM,@,MIN,L 13-28,0,0,,0
10,1991,10,1991-11-10,24-070,TAM,,DET,W 30-21,1,26,26.00,0
11,1991,11,1991-11-17,24-077,TAM,@,ATL,L 7-43,0,0,,0
12,1991,12,1991-11-24,24-084,TAM,,NYG,L 14-21,0,0,,0
13,1991,13,1991-12-01,24-091,TAM,@,MIA,L 14-33,0,0,,0
14,1991,14,1991-12-08,24-098,TAM,,MIN,L 24-26,0,0,,0
15,1991,15,1991-12-14,24-104,TAM,@,CHI,L 0-27,0,0,,0
16,1991,16,1991-12-22,24-112,TAM,,IND,W 17-3,1,13,13.00,0
,,,16 Games,,,,,3-13-0,8,119,14.88,0
