
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Int,Yds,TD
1,1960,4,1960-10-02,27-148,OAK,@,DEN,L 14-31,1,14,14.00,0,0,0,0
2,1960,8,1960-10-28,27-174,OAK,@,NYT,W 28-27,1,18,18.00,0,0,0,0
3,1960,14,1960-12-17,27-224,OAK,,DEN,W 48-10,1,6,6.00,0,0,0,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Int,Yds,TD
4,1961,1,1961-09-09,28-125,OAK,@,HOU,L 0-55,0,0,,0,1,23,0
5,1961,14,1961-12-17,28-224,OAK,,HOU,L 16-47,0,0,,0,1,32,0
,,,5 Games,,,,,2-3-0,3,38,12.67,0,2,55,0
