
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2008,1,2008-09-07,22-151,IND,,CHI,L 13-29,1,7,7.00,0,0,0,0,,0,0,0,0.0,0,0
2,2008,2,2008-09-14,22-158,IND,@,MIN,W 18-15,,,,,,,,,,,,,,
3,2008,3,2008-09-21,22-165,IND,,JAX,L 21-23,,,,,,,,,,,,,,
4,2008,4,2008-10-05,22-179,IND,@,HOU,W 31-27,,,,,,,,,,,,,,
5,2008,5,2008-10-12,22-186,IND,,BAL,W 31-3,1,2,2.00,0,1,1,18,18.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
6,2009,4,2009-10-04,23-178,IND,,SEA,W 34-17,0,0,,0,0,0,0,,0,0,0,0.0,0,0
7,2009,7,2009-11-01,23-206,IND,,SFO,W 18-14,,,,,,,,,,,,,,
8,2009,8,2009-11-08,23-213,IND,,HOU,W 20-17,,,,,,,,,,,,,,
9,2009,9,2009-11-15,23-220,IND,,NWE,W 35-34,,,,,,,,,,,,,,
10,2009,12,2009-12-06,23-241,IND,,TEN,W 27-17,4,11,2.75,0,2,2,27,13.50,0,0,0,0.0,0,0
11,2009,13,2009-12-13,23-248,IND,,DEN,W 28-16,9,28,3.11,0,1,0,0,,0,0,0,0.0,0,0
12,2009,14,2009-12-17,23-252,IND,@,JAX,W 35-31,3,3,1.00,0,1,1,11,11.00,0,0,0,0.0,0,0
13,2009,15,2009-12-27,23-262,IND,,NYJ,L 15-29,,,,,,,,,,,,,,
14,2009,16,2010-01-03,23-269,IND,@,BUF,L 7-30,10,28,2.80,1,4,2,16,8.00,0,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
15,2010,2,2010-09-19,24-163,IND,,NYG,W 38-14,2,4,2.00,0,0,0,0,,0,0,0,0.0,0,0
16,2010,3,2010-09-26,24-170,IND,@,DEN,W 27-13,,,,,,,,,,,,,,
17,2010,4,2010-10-03,24-177,IND,@,JAX,L 28-31,2,-4,-2.00,0,0,0,0,,0,0,0,0.0,0,0
18,2010,5,2010-10-10,24-184,IND,,KAN,W 19-9,11,50,4.55,1,1,1,5,5.00,0,1,6,0.0,1,0
19,2010,6,2010-10-17,24-191,IND,@,WAS,W 27-24,11,43,3.91,0,0,0,0,,0,0,0,0.0,0,0
20,2010,7,2010-11-01,24-206,IND,,HOU,W 30-17,12,84,7.00,0,3,3,19,6.33,0,0,0,0.0,0,0
21,2010,12,2010-12-05,24-240,IND,,DAL,L 35-38,5,8,1.60,0,2,2,1,0.50,0,0,0,0.0,0,0
,,,21 Games,,,,,15-6-0,71,264,3.72,2,15,12,97,8.08,0,2,12,0.0,1,0
