
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2007,6,2007-10-14,25-243,CAR,@,ARI,W 25-10,1,2,2.00,0,0,0,0,,0
2,2007,7,2007-10-28,25-257,CAR,,IND,L 7-31,0,0,,0,3,3,14,4.67,0
3,2007,8,2007-11-04,25-264,CAR,@,TEN,L 7-20,0,0,,0,,0,0,,0
4,2007,9,2007-11-11,25-271,CAR,,ATL,L 13-20,0,0,,0,0,0,0,,0
5,2007,10,2007-11-18,25-278,CAR,@,GNB,L 17-31,0,0,,0,,0,0,,0
6,2007,12,2007-12-02,25-292,CAR,,SFO,W 31-14,,,,,,,,,
7,2007,13,2007-12-09,25-299,CAR,@,JAX,L 6-37,0,0,,0,,0,0,,0
8,2007,14,2007-12-16,25-306,CAR,,SEA,W 13-10,0,0,,0,,0,0,,0
9,2007,15,2007-12-22,25-312,CAR,,DAL,L 13-20,0,0,,0,0,0,0,,0
10,2007,16,2007-12-30,25-320,CAR,@,TAM,W 31-23,2,1,0.50,0,0,0,0,,0
,,,10 Games,,,,,4-6-0,3,3,1.00,0,3,3,14,4.67,0
