
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1995,1,1995-09-03,24-064,BUF,@,DEN,L 7-22,0,0,,0,0,0,0,,0,1,23,23.00,0,0,0
2,1995,2,1995-09-10,24-071,BUF,,CAR,W 31-9,11,30,2.73,1,0,0,0,,0,3,20,6.67,0,1,6
3,1995,3,1995-09-17,24-078,BUF,,IND,W 20-14,7,32,4.57,0,0,0,0,,0,1,22,22.00,0,0,0
4,1995,4,1995-10-02,24-093,BUF,@,CLE,W 22-19,9,62,6.89,0,3,2,7,3.50,0,5,105,21.00,0,0,0
5,1995,5,1995-10-08,24-099,BUF,,NYJ,W 29-10,11,60,5.45,0,0,0,0,,0,3,108,36.00,0,0,0
6,1995,6,1995-10-15,24-106,BUF,,SEA,W 27-21,12,50,4.17,0,2,0,0,,0,2,37,18.50,0,0,0
7,1995,7,1995-10-23,24-114,BUF,@,NWE,L 14-27,13,40,3.08,0,8,8,80,10.00,0,5,111,22.20,0,0,0
8,1995,8,1995-10-29,24-120,BUF,@,MIA,L 6-23,12,24,2.00,0,6,5,25,5.00,0,0,0,,0,0,0
9,1995,9,1995-11-05,24-127,BUF,@,IND,W 16-10,21,67,3.19,0,4,3,19,6.33,0,0,0,,0,0,0
10,1995,10,1995-11-12,24-134,BUF,,ATL,W 23-17,23,100,4.35,0,1,1,-1,-1.00,0,1,18,18.00,0,0,0
11,1995,11,1995-11-19,24-141,BUF,@,NYJ,W 28-26,12,22,1.83,1,4,2,52,26.00,0,3,59,19.67,0,1,6
12,1995,12,1995-11-26,24-148,BUF,,NWE,L 25-35,6,46,7.67,0,2,1,10,10.00,0,3,70,23.33,0,0,0
13,1995,13,1995-12-03,24-155,BUF,@,SFO,L 17-27,11,41,3.73,0,3,2,22,11.00,0,4,72,18.00,0,0,0
14,1995,14,1995-12-10,24-162,BUF,@,STL,W 45-27,12,90,7.50,2,0,0,0,,0,4,84,21.00,0,2,12
15,1995,15,1995-12-17,24-169,BUF,,MIA,W 23-20,3,12,4.00,0,0,0,0,,0,4,70,17.50,0,0,0
16,1995,16,1995-12-24,24-176,BUF,,HOU,L 17-28,9,22,2.44,0,1,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
17,1996,1,1996-09-01,25-062,BUF,@,NYG,W 23-20,7,31,4.43,0,0,0,0,,0,0,0,,0,0,0
18,1996,2,1996-09-08,25-069,BUF,,NWE,W 17-10,15,49,3.27,0,2,2,7,3.50,0,0,0,,0,0,0
19,1996,3,1996-09-16,25-077,BUF,@,PIT,L 6-24,5,15,3.00,0,2,1,6,6.00,0,0,0,,0,0,0
20,1996,4,1996-09-22,25-083,BUF,,DAL,W 10-7,8,48,6.00,0,0,0,0,,0,0,0,,0,0,0
21,1996,5,1996-10-06,25-097,BUF,,IND,W 16-13,10,31,3.10,0,1,0,0,,0,0,0,,0,0,0
22,1996,6,1996-10-13,25-104,BUF,,MIA,L 7-21,8,17,2.13,0,2,2,23,11.50,0,0,0,,0,0,0
23,1996,7,1996-10-20,25-111,BUF,@,NYJ,W 25-22,10,7,0.70,1,0,0,0,,0,0,0,,0,1,6
24,1996,8,1996-10-27,25-118,BUF,@,NWE,L 25-28,3,6,2.00,0,3,1,6,6.00,1,0,0,,0,1,6
25,1996,9,1996-11-03,25-125,BUF,,WAS,W 38-13,22,122,5.55,3,1,1,19,19.00,0,0,0,,0,3,18
26,1996,10,1996-11-10,25-132,BUF,@,PHI,W 24-17,10,30,3.00,0,0,0,0,,0,0,0,,0,0,0
