
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1978,6,1978-10-08,25-110,NOR,,CLE,L 16-24,2,4,2.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
2,1978,15,1978-12-10,25-173,NOR,,HOU,L 12-17,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,18,18.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
3,1979,1,1979-09-02,26-074,NOR,,ATL,L 34-40,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,18,18.00,0,0,0
4,1979,2,1979-09-09,26-081,NOR,@,GNB,L 19-28,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,31,15.50,0,0,0
5,1979,6,1979-10-07,26-109,NOR,,RAM,L 17-35,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,20,20.00,0,0,0
6,1979,7,1979-10-14,26-116,NOR,@,TAM,W 42-14,3,12,4.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
7,1979,8,1979-10-21,26-123,NOR,,DET,W 17-7,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,20,20.00,0,0,0
8,1979,9,1979-10-28,26-130,NOR,@,WAS,W 14-10,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,13,13.00,0,0,0
9,1979,12,1979-11-18,26-151,NOR,@,SEA,L 24-38,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,18,9.00,0,0,0
10,1979,13,1979-11-25,26-158,NOR,@,ATL,W 37-6,2,2,1.00,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
11,1979,15,1979-12-09,26-172,NOR,,SDG,L 0-35,0,0,,0,,1,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
12,1979,16,1979-12-16,26-179,NOR,@,RAM,W 29-14,12,54,4.50,0,,1,13,13.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
13,1980,4,1980-09-28,27-100,NOR,@,MIA,L 16-21,3,7,2.33,0,,7,54,7.71,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
14,1980,5,1980-10-05,27-107,NOR,,STL,L 7-40,1,0,0.00,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
15,1980,6,1980-10-12,27-114,NOR,@,DET,L 13-24,8,18,2.25,0,,4,31,7.75,0,0,0,,0,0,0,,,,0,0,,0,0,0
16,1980,7,1980-10-19,27-121,NOR,,ATL,L 14-41,4,3,0.75,0,,3,13,4.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
17,1980,11,1980-11-16,27-149,NOR,@,ATL,L 13-31,0,0,,0,,1,9,9.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
18,1980,12,1980-11-24,27-157,NOR,,RAM,L 7-27,0,0,,0,,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
19,1980,14,1980-12-07,27-170,NOR,@,SFO,L 35-38,11,40,3.64,2,,5,48,9.60,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,2,12
20,1980,15,1980-12-14,27-177,NOR,@,NYJ,W 21-20,5,25,5.00,0,,4,37,9.25,1,0,0,,0,0,0,,,,0,0,,0,1,6
21,1980,16,1980-12-21,27-184,NOR,,NWE,L 27-38,6,26,4.33,0,,3,28,9.33,0,1,1,100.00,23,1,0,158.3,23.00,43.00,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
22,1981,1,1981-09-06,28-078,NOR,@,ATL,L 0-27,4,10,2.50,0,,3,22,7.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
23,1981,2,1981-09-13,28-085,NOR,,RAM,W 23-17,5,21,4.20,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
24,1981,3,1981-09-20,28-092,NOR,@,NYG,L 7-20,7,32,4.57,0,,1,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
25,1981,4,1981-09-27,28-099,NOR,@,SFO,L 14-21,3,8,2.67,0,,3,11,3.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
26,1981,5,1981-10-04,28-106,NOR,,PIT,L 6-20,1,0,0.00,0,,1,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
27,1981,6,1981-10-11,28-113,NOR,,PHI,L 14-31,3,12,4.00,0,,1,16,16.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
28,1981,7,1981-10-18,28-120,NOR,@,CLE,L 17-20,2,8,4.00,0,,3,7,2.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
29,1981,8,1981-10-25,28-127,NOR,,CIN,W 17-7,2,3,1.50,0,,2,7,3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
30,1981,9,1981-11-01,28-134,NOR,,ATL,L 10-41,1,-2,-2.00,0,,6,39,6.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
31,1981,10,1981-11-08,28-141,NOR,@,RAM,W 21-13,10,36,3.60,0,,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
32,1981,11,1981-11-15,28-148,NOR,@,MIN,L 10-20,4,14,3.50,0,,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
33,1981,12,1981-11-22,28-155,NOR,@,HOU,W 27-24,8,25,3.13,2,,5,49,9.80,0,0,0,,0,0,0,,,,0,0,,0,2,12
34,1981,13,1981-11-29,28-162,NOR,,TAM,L 14-31,3,16,5.33,0,,7,35,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
35,1981,14,1981-12-06,28-169,NOR,@,STL,L 3-30,2,4,2.00,0,,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
36,1981,15,1981-12-13,28-176,NOR,,GNB,L 7-35,1,2,2.00,0,,2,3,1.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
37,1981,16,1981-12-20,28-183,NOR,,SFO,L 17-21,2,5,2.50,0,,1,8,8.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
38,1982,5,1982-12-05,29-168,NOR,,TAM,L 10-13,0,0,,0,,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
39,1982,6,1982-12-12,29-175,NOR,@,ATL,L 0-35,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,,,,,,
