
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1979,4,1979-09-23,22-277,MIA,,CHI,W 31-16,2,6,3.00,0,,0,0,,0,0,0
2,1979,13,1979-11-25,22-340,MIA,@,BAL,W 28-24,0,0,,0,,2,21,10.50,0,0,0
3,1979,14,1979-11-29,22-344,MIA,,NWE,W 39-24,1,2,2.00,0,,0,0,,0,0,0
4,1979,15,1979-12-09,22-354,MIA,@,DET,W 28-10,0,0,,0,,1,2,2.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
5,1980,1,1980-09-07,23-262,MIA,@,BUF,L 7-17,6,43,7.17,0,,0,0,,0,0,0
6,1980,2,1980-09-14,23-269,MIA,,CIN,W 17-16,11,47,4.27,0,,3,24,8.00,0,0,0
7,1980,3,1980-09-21,23-276,MIA,@,ATL,W 20-17,9,12,1.33,0,,1,1,1.00,0,0,0
8,1980,4,1980-09-28,23-283,MIA,,NOR,W 21-16,8,22,2.75,1,,0,0,,0,1,6
9,1980,5,1980-10-05,23-290,MIA,,BAL,L 17-30,10,31,3.10,0,,1,13,13.00,0,0,0
10,1980,6,1980-10-12,23-297,MIA,@,NWE,L 0-34,7,24,3.43,0,,0,0,,0,0,0
11,1980,13,1980-11-30,23-346,MIA,@,PIT,L 10-23,1,3,3.00,0,,0,0,,0,0,0
12,1980,15,1980-12-14,23-360,MIA,@,BAL,W 24-14,2,3,1.50,0,,0,0,,0,0,0
13,1980,16,1980-12-20,24-000,MIA,,NYJ,L 17-24,6,21,3.50,0,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
14,1981,4,1981-09-27,24-281,MIA,@,BAL,W 31-28,1,9,9.00,0,,1,4,4.00,0,0,0
15,1981,5,1981-10-04,24-288,MIA,,NYJ,T 28-28,2,5,2.50,0,,0,0,,0,0,0
16,1981,6,1981-10-12,24-296,MIA,@,BUF,L 21-31,0,0,,0,,0,0,,0,,
17,1981,7,1981-10-18,24-302,MIA,,WAS,W 13-10,1,1,1.00,0,,1,5,5.00,0,0,0
18,1981,8,1981-10-25,24-309,MIA,@,DAL,L 27-28,1,6,6.00,0,,0,0,,0,0,0
19,1981,9,1981-11-01,24-316,MIA,,BAL,W 27-10,0,0,,0,,0,0,,0,,
20,1981,10,1981-11-08,24-323,MIA,@,NWE,W 30-27,0,0,,0,,0,0,,0,,
21,1981,11,1981-11-15,24-330,MIA,,OAK,L 17-33,0,0,,0,,0,0,,0,,
22,1981,12,1981-11-22,24-337,MIA,@,NYJ,L 15-16,0,0,,0,,0,0,,0,,
23,1981,13,1981-11-30,24-345,MIA,,PHI,W 13-10,0,0,,0,,0,0,,0,,
,,,23 Games,,,,,13-9-1,68,235,3.46,1,,10,70,7.00,0,1,6
