
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2009,13,2009-12-13,23-203,TAM,,NYJ,L 3-26,0,0,,0,0,0,0,,0,0,0,,0,0.0,0,0
2,2009,14,2009-12-20,23-210,TAM,@,SEA,W 24-7,0,0,,0,0,0,0,,0,2,52,26.00,0,0.0,0,0
3,2009,16,2010-01-03,23-224,TAM,,ATL,L 10-20,0,0,,0,,0,0,,0,0,0,,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
4,2010,1,2010-09-12,24-111,TAM,,CLE,W 17-14,0,0,,0,,0,0,,0,0,0,,0,0.0,0,1
5,2010,4,2010-10-10,24-139,TAM,@,CIN,W 24-21,1,4,4.00,0,0,0,0,,0,0,0,,0,0.0,0,0
6,2010,5,2010-10-17,24-146,TAM,,NOR,L 6-31,3,7,2.33,0,2,1,7,7.00,0,0,0,,0,0.0,0,0
,,,6 Games,,,,,3-3-0,4,11,2.75,0,2,1,7,7.00,0,2,52,26.00,0,0.0,0,1
