
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2007,3,2007-09-23,21-303,PHI,,DET,W 56-21,4,1,0.25,1,0,0,0,,0,1,6,0.0,0,0
2,2007,4,2007-09-30,21-310,PHI,@,NYG,L 3-16,2,7,3.50,0,0,0,0,,0,0,0,0.0,0,0
3,2007,5,2007-10-14,21-324,PHI,@,NYJ,W 16-9,2,5,2.50,0,0,0,0,,0,0,0,0.0,0,0
4,2007,6,2007-10-21,21-331,PHI,,CHI,L 16-19,1,1,1.00,0,0,0,0,,0,0,0,0.0,0,0
5,2007,8,2007-11-04,21-345,PHI,,DAL,L 17-38,0,0,,0,,0,0,,0,0,0,0.0,0,0
6,2007,9,2007-11-11,21-352,PHI,@,WAS,W 33-25,1,2,2.00,0,0,0,0,,0,0,0,0.0,0,0
7,2007,14,2007-12-16,22-022,PHI,@,DAL,W 10-6,,,,,,,,,,,,,,
8,2007,15,2007-12-23,22-029,PHI,@,NOR,W 38-23,0,0,,0,,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
9,2008,1,2008-09-07,22-288,PHI,,STL,W 38-3,2,3,1.50,1,1,1,2,2.00,0,1,6,0.0,0,0
10,2008,2,2008-09-15,22-296,PHI,@,DAL,L 37-41,,,,,,,,,,,,,,
11,2008,3,2008-09-21,22-302,PHI,,PIT,W 15-6,0,0,,0,2,2,12,6.00,0,0,0,0.0,1,0
12,2008,4,2008-09-28,22-309,PHI,@,CHI,L 20-24,1,0,0.00,0,2,2,26,13.00,0,0,0,0.0,0,0
13,2008,5,2008-10-05,22-316,PHI,,WAS,L 17-23,1,6,6.00,0,1,1,2,2.00,0,0,0,0.0,0,0
14,2008,6,2008-10-12,22-323,PHI,@,SFO,W 40-26,,,,,,,,,,,,,,
,,,14 Games,,,,,8-6-0,14,25,1.79,2,6,6,42,7.00,0,2,12,0.0,1,0
