
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1991,1,1991-09-01,23-231,DET,@,WAS,L 0-45,10,39,3.90,0,,0,0,,0,0,0,,0
2,1991,2,1991-09-08,23-238,DET,,GNB,W 23-14,2,4,2.00,0,,1,-2,-2.00,0,0,0,,0
3,1991,3,1991-09-15,23-245,DET,,MIA,W 17-13,2,9,4.50,0,,0,0,,0,0,0,,0
4,1991,4,1991-09-22,23-252,DET,@,IND,W 33-24,0,0,,0,,0,0,,0,0,0,,0
5,1991,5,1991-09-29,23-259,DET,,TAM,W 31-3,3,3,1.00,0,,0,0,,0,0,0,,0
6,1991,6,1991-10-06,23-266,DET,,MIN,W 24-20,0,0,,0,,0,0,,0,0,0,,0
7,1991,8,1991-10-27,23-287,DET,,DAL,W 34-10,0,0,,0,,0,0,,0,0,0,,0
8,1991,9,1991-11-03,23-294,DET,@,CHI,L 10-20,0,0,,0,,0,0,,0,1,9,9.00,0
,,,8 Games,,,,,6-2-0,17,55,3.24,0,,1,-2,-2.00,0,1,9,9.00,0
