
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1962,1,1962-09-16,22-282,WAS,@,DAL,T 35-35,0,0,,0,,0,0,,0,2,48,24.00,0,0,0
2,1962,2,1962-09-23,22-289,WAS,@,CLE,W 17-16,4,8,2.00,0,,0,0,,0,0,0,,0,0,0
3,1962,8,1962-11-04,22-331,WAS,,DAL,L 10-38,2,11,5.50,0,,1,8,8.00,0,0,0,,0,0,0
4,1962,10,1962-11-18,22-345,WAS,@,PIT,L 21-23,1,-6,-6.00,0,,0,0,,0,0,0,,0,0,0
5,1962,11,1962-11-25,22-352,WAS,,NYG,L 24-42,9,3,0.33,0,,3,54,18.00,0,1,26,26.00,0,0,0
6,1962,12,1962-12-02,22-359,WAS,,PHI,L 14-37,13,44,3.38,0,,3,69,23.00,0,3,87,29.00,0,0,0
7,1962,13,1962-12-08,23-000,WAS,@,BAL,L 21-34,11,38,3.45,0,,3,122,40.67,1,2,45,22.50,0,1,6
8,1962,14,1962-12-16,23-008,WAS,,PIT,L 24-27,9,14,1.56,0,,0,0,,0,2,66,33.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
9,1963,1,1963-09-15,23-281,WAS,@,CLE,L 14-37,0,0,,0,,0,0,,0,3,79,26.33,0,0,0
10,1963,2,1963-09-21,23-287,WAS,@,RAM,W 37-14,3,30,10.00,0,,0,0,,0,0,0,,0,0,0
11,1963,6,1963-10-20,23-316,WAS,@,PIT,L 27-38,0,0,,0,,0,0,,0,2,34,17.00,0,0,0
,,,11 Games,,,,,2-8-1,52,142,2.73,0,,10,253,25.30,1,15,385,25.67,0,1,6
