
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1999,1,1999-09-12,23-245,SFO,@,JAX,L 3-41,0,0,,0,1,1,3,3.00,0,0,0,,0,0,0
2,1999,2,1999-09-19,23-252,SFO,,NOR,W 28-21,,,,,,,,,,,,,,,
3,1999,3,1999-09-27,23-260,SFO,@,ARI,W 24-10,,,,,0,,,,,,,,,,
4,1999,4,1999-10-03,23-266,SFO,,TEN,W 24-22,,,,,,,,,,,,,,,
5,1999,5,1999-10-10,23-273,SFO,@,STL,L 20-42,,,,,0,,,,,,,,,,
6,1999,6,1999-10-17,23-280,SFO,,CAR,L 29-31,,,,,,,,,,,,,,,
7,1999,7,1999-10-24,23-287,SFO,@,MIN,L 16-40,,,,,0,,,,,,,,,,
8,1999,8,1999-11-07,23-301,SFO,,PIT,L 6-27,,,,,,,,,,,,,,,
9,1999,9,1999-11-14,23-308,SFO,@,NOR,L 6-24,,,,,0,,,,,,,,,,
10,1999,10,1999-11-21,23-315,SFO,,STL,L 7-23,,,,,,,,,,,,,,,
11,1999,11,1999-11-29,23-323,SFO,,GNB,L 3-20,,,,,0,,,,,,,,,,
12,1999,12,1999-12-05,23-329,SFO,@,CIN,L 30-44,,,,,,,,,,,,,,,
13,1999,13,1999-12-12,23-336,SFO,,ATL,W 26-7,5,24,4.80,0,0,0,0,,0,0,0,,0,0,0
14,1999,14,1999-12-18,23-342,SFO,@,CAR,L 24-41,,,,,0,,,,,,,,,,
15,1999,15,1999-12-26,23-350,SFO,,WAS,L 20-26,5,16,3.20,0,0,0,0,,0,0,0,,0,0,0
16,1999,16,2000-01-03,23-358,SFO,@,ATL,L 29-34,5,35,7.00,0,2,2,3,1.50,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
17,2000,1,2000-09-03,24-237,SFO,@,ATL,L 28-36,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0
18,2000,2,2000-09-10,24-244,SFO,,CAR,L 22-38,1,1,1.00,1,0,0,0,,0,0,0,,0,1,6
19,2000,3,2000-09-17,24-251,SFO,@,STL,L 24-41,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0
20,2000,4,2000-09-24,24-258,SFO,@,DAL,W 41-24,,,,,0,,,,,,,,,,
21,2000,5,2000-10-01,24-265,SFO,,ARI,W 27-20,,,,,0,,,,,,,,,,
22,2000,6,2000-10-08,24-272,SFO,,OAK,L 28-34,0,0,,0,1,1,16,16.00,0,0,0,,0,0,0
23,2000,7,2000-10-15,24-279,SFO,@,GNB,L 28-31,,,,,,,,,,,,,,,
24,2000,9,2000-10-29,24-293,SFO,,STL,L 24-34,0,0,,0,0,0,0,,0,1,9,9.00,0,0,0
25,2000,10,2000-11-05,24-300,SFO,@,NOR,L 15-31,1,0,0.00,0,3,3,20,6.67,1,0,0,,0,1,6
26,2000,11,2000-11-12,24-307,SFO,,KAN,W 21-7,1,3,3.00,0,0,0,0,,0,0,0,,0,0,0
27,2000,12,2000-11-19,24-314,SFO,,ATL,W 16-6,,,,,0,,,,,,,,,,
28,2000,13,2000-12-03,24-328,SFO,@,SDG,W 45-17,,,,,0,,,,,,,,,,
29,2000,14,2000-12-10,24-335,SFO,,NOR,L 27-31,,,,,0,,,,,,,,,,
30,2000,15,2000-12-17,24-342,SFO,,CHI,W 17-0,,,,,0,,,,,,,,,,
31,2000,16,2000-12-23,24-348,SFO,@,DEN,L 9-38,0,0,,0,1,1,12,12.00,0,0,0,,0,0,0
