
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2009,4,2009-10-04,23-296,CLE,,CIN,L 20-23,1,8,8.00,0,1,1,2,2.00,0,0,0
2,2009,9,2009-11-16,23-339,CLE,,BAL,L 0-16,7,18,2.57,0,2,1,10,10.00,0,0,0
3,2009,10,2009-11-22,23-345,CLE,@,DET,L 37-38,10,36,3.60,0,6,5,38,7.60,0,0,0
4,2009,11,2009-11-29,23-352,CLE,@,CIN,L 7-16,2,5,2.50,0,1,1,4,4.00,0,0,0
5,2009,12,2009-12-06,23-359,CLE,,SDG,L 23-30,5,28,5.60,0,2,1,2,2.00,0,0,0
6,2009,13,2009-12-10,23-363,CLE,,PIT,W 13-6,20,73,3.65,1,0,0,0,,0,1,6
7,2009,14,2009-12-20,24-008,CLE,@,KAN,W 41-34,7,18,2.57,0,0,0,0,,0,0,0
8,2009,15,2009-12-27,24-015,CLE,,OAK,W 23-9,2,-4,-2.00,0,1,0,0,,0,0,0
9,2009,16,2010-01-03,24-022,CLE,,JAX,W 23-17,9,38,4.22,0,0,0,0,,0,0,0
,,,9 Games,,,,,4-5-0,63,220,3.49,1,13,9,56,6.22,0,1,6
