
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1965,1,1965-09-11,22-064,BOS,@,BUF,L 7-24,5,10,2.00,0,,1,23,23.00,0,0,0,,0
2,1965,2,1965-09-19,22-072,BOS,@,HOU,L 10-31,6,6,1.00,0,,1,-2,-2.00,0,0,0,,0
3,1965,3,1965-09-24,22-077,BOS,,DEN,L 10-27,4,0,0.00,0,,0,0,,0,0,0,,0
4,1965,4,1965-10-03,22-086,BOS,@,KAN,L 17-27,1,3,3.00,0,,0,0,,0,1,16,16.00,0
5,1965,5,1965-10-08,22-091,BOS,,OAK,L 10-24,3,10,3.33,0,,1,-6,-6.00,0,1,13,13.00,0
6,1965,9,1965-11-07,22-121,BOS,,BUF,L 7-23,0,0,,0,,1,14,14.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
7,1966,1,1966-09-10,23-063,BOS,@,SDG,L 0-24,0,0,,0,,0,0,,0,2,45,22.50,0
,,,7 Games,,,,,0-7-0,19,29,1.53,0,,4,29,7.25,0,4,74,18.50,0
