
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2011,2,2011-09-18,24-215,DEN,,CIN,W 24-22,,,,,,,,,
2,2011,10,2011-11-17,24-275,DEN,,NYJ,W 17-13,3,-2,-0.67,0,1,1,8,8.00,0
3,2011,11,2011-11-27,24-285,DEN,@,SDG,W 16-13,0,0,,0,4,2,24,12.00,0
4,2011,12,2011-12-04,24-292,DEN,@,MIN,W 35-32,,,,,,,,,
5,2011,13,2011-12-11,24-299,DEN,,CHI,W 13-10,2,18,9.00,0,2,2,11,5.50,0
6,2011,14,2011-12-18,24-306,DEN,,NWE,L 23-41,1,25,25.00,0,0,0,0,,0
7,2011,15,2011-12-24,24-312,DEN,@,BUF,L 14-40,6,23,3.83,0,2,2,19,9.50,0
8,2011,16,2012-01-01,24-320,DEN,,KAN,L 3-7,2,13,6.50,0,0,0,0,,0
,,,8 Games,,,,,5-3-0,14,77,5.50,0,9,7,62,8.86,0
