
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2009,5,2009-10-18,23-018,GNB,,DET,W 26-0,,,,,,,,,,,,
2,2009,6,2009-10-25,23-025,GNB,@,CLE,W 31-3,1,1,0,0.00,0,0,0,,0,0.0,0,0
3,2009,7,2009-11-01,23-032,GNB,,MIN,L 26-38,1,1,4,4.00,0,0,0,,0,0.0,0,0
4,2009,8,2009-11-08,23-039,GNB,@,TAM,L 28-38,,,,,,,,,,,,
5,2009,10,2009-11-22,23-053,GNB,,SFO,W 30-24,,,,,,,,,,,,
6,2009,11,2009-11-26,23-057,GNB,@,DET,W 34-12,0,,,,,,,,,,,
7,2009,14,2009-12-20,23-081,GNB,@,PIT,L 36-37,1,,,,,,,,,,,
8,2009,15,2009-12-27,23-088,GNB,,SEA,W 48-10,1,,,,,,,,,,,
9,2009,16,2010-01-03,23-095,GNB,@,ARI,W 33-7,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Sk,Tkl,Ast
10,2010,2,2010-09-19,23-354,GNB,,BUF,W 34-7,1,1,11,11.00,0,0,0,,0,0.0,0,0
11,2010,3,2010-09-27,23-362,GNB,@,CHI,L 17-20,,,,,,,,,,,,
12,2010,6,2010-10-17,24-017,GNB,,MIA,L 20-23,,,,,,,,,,,,
13,2010,9,2010-11-07,24-038,GNB,,DAL,W 45-7,,,,,,,,,,,,
14,2010,10,2010-11-21,24-052,GNB,@,MIN,W 31-3,0,0,0,,0,0,0,,0,0.0,0,0
15,2010,11,2010-11-28,24-059,GNB,@,ATL,L 17-20,1,,,,,,,,,,,
16,2010,12,2010-12-05,24-066,GNB,,SFO,W 34-16,0,0,0,,0,0,0,,0,0.0,0,0
17,2010,13,2010-12-12,24-073,GNB,@,DET,L 3-7,0,0,0,,0,0,0,,0,0.0,1,0
18,2010,14,2010-12-19,24-080,GNB,@,NWE,L 27-31,2,2,15,7.50,0,0,0,,0,0.0,0,0
19,2010,15,2010-12-26,24-087,GNB,,NYG,W 45-17,,,,,,,,,,,,
20,2010,16,2011-01-02,24-094,GNB,,CHI,W 10-3,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Sk,Tkl,Ast
21,2011,1,2011-09-11,24-346,TEN,@,JAX,L 14-16,,,,,,,,,,,,
22,2011,2,2011-09-18,24-353,TEN,,BAL,W 26-13,1,1,13,13.00,0,0,0,,0,0.0,0,0
23,2011,3,2011-09-25,24-360,TEN,,DEN,W 17-14,2,2,17,8.50,0,0,0,,0,0.0,0,0
24,2011,4,2011-10-02,25-002,TEN,@,CLE,W 31-13,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Sk,Tkl,Ast
25,2012,1,2012-09-09,25-345,TEN,,NWE,L 13-34,,,,,,,,,,,,
26,2012,2,2012-09-16,25-352,TEN,@,SDG,L 10-38,0,,,,,,,,,,,
27,2012,3,2012-09-23,25-359,TEN,,DET,W 44-41,1,1,5,5.00,0,0,0,,0,0.0,0,0
28,2012,4,2012-09-30,26-000,TEN,@,HOU,L 14-38,1,1,17,17.00,0,0,0,,0,0.0,0,0
29,2012,5,2012-10-07,26-007,TEN,@,MIN,L 7-30,1,1,15,15.00,0,0,0,,0,0.0,0,0
30,2012,6,2012-10-11,26-011,TEN,,PIT,W 26-23,1,0,0,,0,0,0,,0,0.0,0,0
31,2012,7,2012-10-21,26-021,TEN,@,BUF,W 35-34,1,0,0,,0,0,0,,0,0.0,0,0
32,2012,8,2012-10-28,26-028,TEN,,IND,L 13-19,1,1,1,1.00,0,0,0,,0,0.0,0,0
33,2012,9,2012-11-04,26-035,TEN,,CHI,L 20-51,0,0,0,,0,0,0,,0,0.0,0,0
34,2012,10,2012-11-11,26-042,TEN,@,MIA,W 37-3,1,0,0,,0,1,3,3.00,0,0.0,0,0
35,2012,11,2012-11-25,26-056,TEN,@,JAX,L 19-24,,,,,,,,,,,,
36,2012,12,2012-12-02,26-063,TEN,,HOU,L 10-24,,,,,,,,,,,,
37,2012,13,2012-12-09,26-070,TEN,@,IND,L 23-27,,,,,,,,,,,,
38,2012,14,2012-12-17,26-078,TEN,,NYJ,W 14-10,1,1,2,2.00,0,2,2,1.00,0,0.0,0,0
39,2012,15,2012-12-23,26-084,TEN,@,GNB,L 7-55,0,0,0,,0,1,0,0.00,0,0.0,0,0
40,2012,16,2012-12-30,26-091,TEN,,JAX,W 38-20,0,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Sk,Tkl,Ast
41,2013,13,2013-12-08,27-069,TEN,@,DEN,L 28-51,,,,,,,,,,,,
42,2013,14,2013-12-15,27-076,TEN,,ARI,L 34-37,1,0,0,,0,0,0,,0,0.0,0,0
43,2013,15,2013-12-22,27-083,TEN,@,JAX,W 20-16,,,,,,,,,,,,
44,2013,16,2013-12-29,27-090,TEN,,HOU,W 16-10,,,,,,,,,,,,
,,,44 Games,,,,,23-21-0,20,13,100,7.69,0,4,5,1.25,0,0.0,1,0
