
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1972,9,1972-11-12,22-363,HOU,,PHI,L 17-18,0,0,,0,,0,0,,0,4,77,19.25,0
2,1972,10,1972-11-19,23-004,HOU,,GNB,L 10-23,0,0,,0,,0,0,,0,2,45,22.50,0
3,1972,12,1972-12-03,23-018,HOU,@,ATL,L 10-20,0,0,,0,,0,0,,0,2,62,31.00,0
4,1972,13,1972-12-10,23-025,HOU,,PIT,L 3-9,0,0,,0,,0,0,,0,1,23,23.00,0
5,1972,14,1972-12-17,23-032,HOU,,CIN,L 17-61,0,0,,0,,0,0,,0,2,60,30.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
6,1973,2,1973-09-23,23-312,HOU,@,CIN,L 10-24,0,0,,0,,0,0,,0,1,20,20.00,0
7,1973,6,1973-10-21,23-340,HOU,@,CLE,L 13-42,2,5,2.50,0,,1,0,0.00,0,0,0,,0
8,1973,10,1973-11-18,24-003,HOU,@,KAN,L 14-38,0,0,,0,,0,0,,0,1,21,21.00,0
9,1973,12,1973-12-02,24-017,HOU,,OAK,L 6-17,5,1,0.20,0,,2,56,28.00,0,0,0,,0
,,,9 Games,,,,,0-9-0,7,6,0.86,0,,3,56,18.67,0,13,308,23.69,0
