
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2004,1,2004-09-12,23-126,JAX,@,BUF,W 13-10,1,3,3.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2004,2,2004-09-19,23-133,JAX,,DEN,W 7-6,2,9,4.50,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2004,3,2004-09-26,23-140,JAX,@,TEN,W 15-12,2,7,3.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2004,4,2004-10-03,23-147,JAX,,IND,L 17-24,4,15,3.75,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2004,5,2004-10-10,23-154,JAX,@,SDG,L 21-34,0,0,,0,2,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
6,2004,6,2004-10-17,23-161,JAX,,KAN,W 22-16,1,10,10.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2004,7,2004-10-24,23-168,JAX,@,IND,W 27-24,3,10,3.33,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2004,8,2004-10-31,23-175,JAX,@,HOU,L 6-20,2,3,1.50,0,1,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
9,2004,9,2004-11-14,23-189,JAX,,DET,W 23-17,8,12,1.50,1,2,1,9,9.00,0,0,0,,0,1,6,0.0,0,0
10,2004,10,2004-11-21,23-196,JAX,,TEN,L 15-18,2,2,1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2004,11,2004-11-28,23-203,JAX,@,MIN,L 16-27,,,,,,,,,,,,,,,,,,
12,2004,12,2004-12-05,23-210,JAX,,PIT,L 16-17,0,0,,0,1,0,0,,0,2,43,21.50,0,0,0,0.0,0,0
13,2004,13,2004-12-12,23-217,JAX,,CHI,W 22-3,3,3,1.00,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2004,14,2004-12-19,23-224,JAX,@,GNB,W 28-25,9,20,2.22,1,0,0,0,,0,3,47,15.67,0,1,6,0.0,0,0
15,2004,15,2004-12-26,23-231,JAX,,HOU,L 0-21,9,38,4.22,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2004,16,2005-01-02,23-238,JAX,@,OAK,W 13-6,16,30,1.88,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
17,2005,1,2005-09-11,24-125,JAX,,SEA,W 26-14,0,0,,0,1,1,10,10.00,0,0,0,,0,0,0,0.0,0,0
18,2005,2,2005-09-18,24-132,JAX,@,IND,L 3-10,3,29,9.67,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2005,3,2005-09-25,24-139,JAX,@,NYJ,W 26-20,4,7,1.75,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2005,4,2005-10-02,24-146,JAX,,DEN,L 7-20,1,2,2.00,0,1,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
21,2005,5,2005-10-09,24-153,JAX,,CIN,W 23-20,4,24,6.00,0,2,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2005,6,2005-10-16,24-160,JAX,@,PIT,W 23-17,18,77,4.28,1,1,1,10,10.00,0,0,0,,0,1,6,0.0,0,0
23,2005,7,2005-10-30,24-174,JAX,@,STL,L 21-24,4,2,0.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2005,8,2005-11-06,24-181,JAX,,HOU,W 21-14,7,27,3.86,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
25,2005,9,2005-11-13,24-188,JAX,,BAL,W 30-3,25,106,4.24,1,2,1,7,7.00,0,0,0,,0,1,6,0.0,0,0
26,2005,10,2005-11-20,24-195,JAX,@,TEN,W 31-28,16,33,2.06,0,2,2,7,3.50,0,0,0,,0,0,0,0.0,0,0
27,2005,11,2005-11-27,24-202,JAX,@,ARI,W 24-17,23,78,3.39,1,1,0,0,,0,0,0,,0,1,6,0.0,0,0
28,2005,12,2005-12-04,24-209,JAX,@,CLE,W 20-14,27,103,3.81,0,1,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
29,2005,13,2005-12-11,24-216,JAX,,IND,L 18-26,7,43,6.14,0,1,1,8,8.00,0,0,0,,0,0,0,0.0,0,0
30,2005,14,2005-12-18,24-223,JAX,,SFO,W 10-9,12,44,3.67,0,2,2,10,5.00,0,1,0,0.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
31,2007,1,2007-09-09,26-123,JAX,,TEN,L 10-13,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
32,2007,2,2007-09-16,26-130,JAX,,ATL,W 13-7,2,6,3.00,0,1,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
33,2007,3,2007-09-23,26-137,JAX,@,DEN,W 23-14,1,4,4.00,1,1,0,0,,0,0,0,,0,1,6,0.0,0,0
34,2007,4,2007-10-07,26-151,JAX,@,KAN,W 17-7,6,14,2.33,0,1,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
35,2007,5,2007-10-14,26-158,JAX,,HOU,W 37-17,2,4,2.00,0,1,1,27,27.00,0,0,0,,0,0,0,0.0,0,0
36,2007,6,2007-10-22,26-166,JAX,,IND,L 7-29,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
37,2007,7,2007-10-28,26-172,JAX,@,TAM,W 24-23,0,0,,0,1,1,18,18.00,0,0,0,,0,0,0,0.0,0,0
38,2007,8,2007-11-04,26-179,JAX,@,NOR,L 24-41,1,-1,-1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
39,2007,9,2007-11-11,26-186,JAX,@,TEN,W 28-13,3,1,0.33,1,2,1,2,2.00,1,0,0,,0,2,12,0.0,0,0
40,2007,10,2007-11-18,26-193,JAX,,SDG,W 24-17,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
41,2007,11,2007-11-25,26-200,JAX,,BUF,W 36-14,1,3,3.00,0,2,0,0,,0,0,0,,0,0,0,0.0,0,0
42,2007,12,2007-12-02,26-207,JAX,@,IND,L 25-28,1,3,3.00,0,1,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
43,2007,13,2007-12-09,26-214,JAX,,CAR,W 37-6,4,1,0.25,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
44,2007,14,2007-12-16,26-221,JAX,@,PIT,W 29-22,1,0,0.00,0,2,1,-2,-2.00,0,0,0,,0,0,0,0.0,0,0
45,2007,15,2007-12-23,26-228,JAX,,OAK,W 49-11,5,11,2.20,0,1,1,2,2.00,1,0,0,,0,1,6,0.0,0,0
46,2007,16,2007-12-30,26-235,JAX,@,HOU,L 28-42,14,71,5.07,0,5,3,27,9.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
47,2008,1,2008-09-07,27-121,JAX,@,TEN,L 10-17,0,0,,0,3,3,13,4.33,1,0,0,,0,1,6,0.0,0,0
48,2008,2,2008-09-14,27-128,JAX,,BUF,L 16-20,0,0,,0,0,0,0,,0,1,10,10.00,0,0,0,0.0,0,0
49,2008,3,2008-09-21,27-135,JAX,@,IND,W 23-21,0,0,,0,1,1,17,17.00,0,0,0,,0,0,0,0.0,0,0
50,2008,4,2008-09-28,27-142,JAX,,HOU,W 30-27,0,0,,0,2,2,28,14.00,0,0,0,,0,0,0,0.0,0,0
51,2008,5,2008-10-05,27-149,JAX,,PIT,L 21-26,0,0,,0,1,1,15,15.00,0,0,0,,0,0,0,0.0,0,0
52,2008,6,2008-10-12,27-156,JAX,@,DEN,W 24-17,1,13,13.00,0,3,3,21,7.00,0,0,0,,0,0,0,0.0,1,0
53,2008,7,2008-10-26,27-170,JAX,,CLE,L 17-23,1,0,0.00,0,2,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
54,2008,8,2008-11-02,27-177,JAX,@,CIN,L 19-21,,,,,1,,,,,,,,,,,,,
55,2008,9,2008-11-09,27-184,JAX,@,DET,W 38-14,0,0,,0,1,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
56,2008,10,2008-11-16,27-191,JAX,,TEN,L 14-24,0,0,,0,1,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
57,2008,11,2008-11-23,27-198,JAX,,MIN,L 12-30,0,0,,0,1,0,0,,0,0,0,,0,0,0,0.0,1,0
58,2008,12,2008-12-01,27-206,JAX,@,HOU,L 17-30,0,0,,0,0,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
