
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2007,1,2007-09-06,27-054,IND,,NOR,W 41-10,5,32,6.40,0,1,1,-2,-2.00,0,0,0,,0,0,0
2,2007,2,2007-09-16,27-064,IND,@,TEN,W 22-20,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0
3,2007,3,2007-09-23,27-071,IND,@,HOU,W 30-24,7,20,2.86,0,0,0,0,,0,0,0,,0,0,0
4,2007,4,2007-09-30,27-078,IND,,DEN,W 38-20,10,80,8.00,0,1,1,4,4.00,0,1,15,15.00,0,0,0
5,2007,5,2007-10-07,27-085,IND,,TAM,W 33-14,28,121,4.32,2,7,5,37,7.40,0,0,0,,0,2,12
6,2007,6,2007-10-22,27-100,IND,@,JAX,W 29-7,15,56,3.73,1,5,2,16,8.00,0,0,0,,0,1,6
7,2007,7,2007-10-28,27-106,IND,@,CAR,W 31-7,6,33,5.50,0,2,0,0,,0,0,0,,0,0,0
8,2007,8,2007-11-04,27-113,IND,,NWE,L 20-24,4,6,1.50,0,0,0,0,,0,0,0,,0,0,0
9,2007,9,2007-11-11,27-120,IND,@,SDG,L 21-23,4,19,4.75,0,1,1,7,7.00,1,0,0,,0,1,6
10,2007,10,2007-11-18,27-127,IND,,KAN,W 13-10,2,-3,-1.50,0,2,1,7,7.00,0,0,0,,0,0,0
11,2007,11,2007-11-22,27-131,IND,@,ATL,W 31-13,17,74,4.35,0,0,0,0,,0,0,0,,0,0,0
12,2007,12,2007-12-02,27-141,IND,,JAX,W 28-25,1,-6,-6.00,0,1,0,0,,0,0,0,,0,0,0
13,2007,13,2007-12-09,27-148,IND,@,BAL,W 44-20,5,16,3.20,0,0,0,0,,0,0,0,,0,0,0
14,2007,14,2007-12-16,27-155,IND,@,OAK,W 21-14,3,11,3.67,0,0,0,0,,0,0,0,,0,0,0
15,2007,15,2007-12-23,27-162,IND,,HOU,W 38-15,10,60,6.00,0,3,2,8,4.00,0,0,0,,0,0,0
16,2007,16,2007-12-30,27-169,IND,,TEN,L 10-16,3,12,4.00,0,0,0,0,,0,0,0,,0,0,0
,,,16 Games,,,,,13-3-0,121,533,4.40,3,23,13,77,5.92,1,1,15,15.00,0,4,24
