
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2000,7,2000-10-22,23-225,PIT,,CLE,W 22-0,,,,,,,,,,,,,,,,,,
2,2000,8,2000-10-29,23-232,PIT,@,BAL,W 9-6,1,1,14,14.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2000,9,2000-11-05,23-239,PIT,@,TEN,L 7-9,2,1,8,8.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2000,10,2000-11-12,23-246,PIT,,PHI,L 23-26,1,,,,,,,,,,,,,,,,,
5,2000,11,2000-11-19,23-253,PIT,,JAX,L 24-34,0,,,,,,,,,,,,,,,,,
6,2000,12,2000-11-26,23-260,PIT,@,CIN,W 48-28,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
7,2000,13,2000-12-03,23-267,PIT,,OAK,W 21-20,0,0,0,,0,2,24,12.00,0,0,0,,0,0,0,0.0,0,0
8,2000,14,2000-12-10,23-274,PIT,@,NYG,L 10-30,2,2,10,5.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2000,15,2000-12-16,23-280,PIT,,WAS,W 24-3,,,,,,,,,,,,,,,,,,
10,2000,16,2000-12-24,23-288,PIT,@,SDG,W 34-21,2,1,10,10.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
11,2001,4,2001-10-14,24-217,PIT,@,KAN,W 20-17,,,,,,,,,,,,,,,,,,
12,2001,5,2001-10-21,24-224,PIT,@,TAM,W 17-10,0,0,0,,0,1,12,12.00,0,0,0,,0,0,0,0.0,0,0
13,2001,6,2001-10-29,24-232,PIT,,TEN,W 34-7,0,0,0,,0,1,-2,-2.00,0,0,0,,0,0,0,0.0,0,0
14,2001,7,2001-11-04,24-238,PIT,,BAL,L 10-13,,,,,,,,,,,,,,,,,,
15,2001,8,2001-11-11,24-245,PIT,@,CLE,W 15-12,1,,,,,,,,,,,,,,,,,
16,2001,9,2001-11-18,24-252,PIT,,JAX,W 20-7,0,,,,,,,,,,,,,,,,,
17,2001,10,2001-11-25,24-259,PIT,@,TEN,W 34-24,,,,,,,,,,,,,,,,,,
18,2001,11,2001-12-02,24-266,PIT,,MIN,W 21-16,,,,,,,,,,,,,,,,,,
19,2001,12,2001-12-09,24-273,PIT,,NYJ,W 18-7,1,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2001,13,2001-12-16,24-280,PIT,@,BAL,W 26-21,1,1,5,5.00,0,2,6,3.00,1,0,0,,0,1,6,0.0,0,0
21,2001,14,2001-12-23,24-287,PIT,,DET,W 47-14,0,0,0,,0,2,12,6.00,0,0,0,,0,0,0,0.0,0,0
22,2001,15,2001-12-30,24-294,PIT,@,CIN,L 23-26,,,,,,,,,,,,,,,,,,
23,2001,16,2002-01-06,24-301,PIT,,CLE,W 28-7,1,0,0,,0,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
24,2002,1,2002-09-09,25-182,PIT,@,NWE,L 14-30,1,1,9,9.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
25,2002,2,2002-09-15,25-188,PIT,,OAK,L 17-30,1,,,,,,,,,,,,,,,,,
26,2002,3,2002-09-29,25-202,PIT,,CLE,W 16-13,,,,,,,,,,,,,,,,,,
27,2002,4,2002-10-06,25-209,PIT,@,NOR,L 29-32,,,,,,,,,,,,,,,,,,
28,2002,5,2002-10-13,25-216,PIT,@,CIN,W 34-7,1,1,4,4.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
29,2002,6,2002-10-21,25-224,PIT,,IND,W 28-10,1,1,9,9.00,0,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
30,2002,7,2002-10-27,25-230,PIT,@,BAL,W 31-18,1,,,,,,,,,,,,,,,,,
31,2002,8,2002-11-03,25-237,PIT,@,CLE,W 23-20,3,2,23,11.50,0,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
32,2002,9,2002-11-10,25-244,PIT,,ATL,T 34-34,,,,,,,,,,,,,,,,,,
33,2002,10,2002-11-17,25-251,PIT,@,TEN,L 23-31,1,0,0,,0,0,0,,0,1,18,18.00,0,0,0,0.0,0,0
34,2002,11,2002-11-24,25-258,PIT,,CIN,W 29-21,4,4,19,4.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
35,2002,12,2002-12-01,25-265,PIT,@,JAX,W 25-23,3,2,17,8.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
36,2002,13,2002-12-08,25-272,PIT,,HOU,L 6-24,1,1,10,10.00,0,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
37,2002,14,2002-12-15,25-279,PIT,,CAR,W 30-14,2,2,2,1.00,0,2,4,2.00,0,0,0,,0,0,0,0.0,0,0
38,2002,15,2002-12-23,25-287,PIT,@,TAM,W 17-7,2,1,8,8.00,0,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
39,2002,16,2002-12-29,25-293,PIT,,BAL,W 34-31,4,3,21,7.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
40,2003,1,2003-09-07,26-180,PIT,,BAL,W 34-15,1,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
41,2003,2,2003-09-14,26-187,PIT,@,KAN,L 20-41,1,1,1,1.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
42,2003,3,2003-09-21,26-194,PIT,@,CIN,W 17-10,3,2,7,3.50,0,3,13,4.33,0,0,0,,0,0,0,0.0,0,0
43,2003,4,2003-09-28,26-201,PIT,,TEN,L 13-30,2,0,0,,0,0,0,,0,1,14,14.00,0,0,0,0.0,0,0
44,2003,5,2003-10-05,26-208,PIT,,CLE,L 13-33,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
45,2003,6,2003-10-12,26-215,PIT,@,DEN,L 14-17,2,1,13,13.00,0,0,0,,0,1,15,15.00,0,0,0,0.0,0,0
46,2003,7,2003-10-26,26-229,PIT,,STL,L 21-33,1,1,15,15.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
47,2003,8,2003-11-02,26-236,PIT,@,SEA,L 16-23,1,0,0,,0,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
48,2003,9,2003-11-09,26-243,PIT,,ARI,W 28-15,1,,,,,,,,,,,,,,,,,
49,2003,10,2003-11-17,26-251,PIT,@,SFO,L 14-30,,,,,,,,,,,,,,,,,,
50,2003,11,2003-11-23,26-257,PIT,@,CLE,W 13-6,4,2,21,10.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
