
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1997,7,1997-10-19,21-332,OAK,,DEN,W 28-25,0,0,,0,,0,0,,0,0,0,,0
2,1997,8,1997-10-26,21-339,OAK,@,SEA,L 34-45,0,0,,0,2,0,0,,0,0,0,,0
3,1997,9,1997-11-02,21-346,OAK,@,CAR,L 14-38,0,0,,0,,0,0,,0,0,0,,0
4,1997,10,1997-11-09,21-353,OAK,,NOR,L 10-13,0,0,,0,1,0,0,,0,1,12,12.00,0
5,1997,11,1997-11-16,21-360,OAK,@,SDG,W 38-13,0,0,,0,,0,0,,0,0,0,,0
6,1997,12,1997-11-24,22-003,OAK,@,DEN,L 3-31,0,0,,0,0,0,0,,0,0,0,,0
7,1997,13,1997-11-30,22-009,OAK,,MIA,L 16-34,0,0,,0,1,0,0,,0,0,0,,0
8,1997,14,1997-12-07,22-016,OAK,@,KAN,L 0-30,0,0,,0,,0,0,,0,0,0,,0
9,1997,15,1997-12-14,22-023,OAK,,SEA,L 21-22,0,0,,0,3,2,24,12.00,0,0,0,,0
10,1997,16,1997-12-21,22-030,OAK,,JAX,L 9-20,2,3,1.50,0,2,0,0,,0,0,0,,0
,,,10 Games,,,,,2-8-0,2,3,1.50,0,9,2,24,12.00,0,1,12,12.00,0
