
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1967,2,1967-09-24,23-003,NOR,,WAS,L 10-30,7,9,1.29,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
2,1967,3,1967-10-01,23-010,NOR,,CLE,L 7-42,6,10,1.67,0,,1,26,26.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
3,1967,8,1967-11-05,23-045,NOR,,PHI,W 31-24,1,2,2.00,0,,0,0,,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0
4,1967,10,1967-11-19,23-059,NOR,@,PHI,L 21-48,4,15,3.75,0,,2,45,22.50,1,0,0,,0,0,0,,,,3,114,38.00,0,1,6
5,1967,11,1967-11-26,23-066,NOR,,ATL,W 27-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,35,17.50,0,0,0
6,1967,12,1967-12-03,23-073,NOR,@,STL,L 20-31,1,-1,-1.00,0,,0,0,,0,0,0,,0,0,0,,,,1,26,26.00,0,0,0
7,1967,14,1967-12-17,23-087,NOR,@,WAS,W 30-14,2,51,25.50,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
8,1968,2,1968-09-22,24-001,NOR,,WAS,W 37-17,16,127,7.94,1,,2,21,10.50,1,0,0,,0,0,0,,,,0,0,,0,2,12
9,1968,3,1968-09-29,24-008,NOR,,STL,L 20-21,14,59,4.21,0,,2,26,13.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
10,1968,4,1968-10-06,24-015,NOR,@,NYG,L 21-38,9,43,4.78,1,,4,42,10.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
11,1968,5,1968-10-13,24-022,NOR,,MIN,W 20-17,16,52,3.25,0,,2,25,12.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
12,1968,6,1968-10-20,24-029,NOR,@,PIT,W 16-12,15,38,2.53,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
13,1968,7,1968-10-27,24-036,NOR,@,STL,L 17-31,15,42,2.80,0,,3,43,14.33,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
14,1968,8,1968-11-03,24-043,NOR,,DAL,L 3-17,4,7,1.75,0,,3,28,9.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
15,1968,9,1968-11-10,24-050,NOR,@,CLE,L 17-35,9,41,4.56,0,,2,15,7.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
16,1968,10,1968-11-17,24-057,NOR,@,GNB,L 7-29,10,40,4.00,1,,4,34,8.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
17,1968,11,1968-11-24,24-064,NOR,@,DET,T 20-20,15,48,3.20,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
18,1968,12,1968-12-01,24-071,NOR,,CHI,L 17-23,11,33,3.00,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
19,1968,13,1968-12-08,24-078,NOR,@,PHI,L 17-29,11,49,4.45,0,,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
20,1968,14,1968-12-15,24-085,NOR,,PIT,W 24-14,10,58,5.80,0,,2,27,13.50,1,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
21,1969,2,1969-09-28,25-007,PIT,@,PHI,L 27-41,1,1,1.00,0,,0,0,,0,0,0,,0,0,0,,,,1,17,17.00,0,0,0
22,1969,3,1969-10-05,25-014,PIT,,STL,L 14-27,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,42,14.00,0,0,0
23,1969,5,1969-10-18,25-027,PIT,@,CLE,L 31-42,2,-1,-0.50,0,,0,0,,0,0,0,,0,0,0,,,,3,103,34.33,0,0,0
24,1969,6,1969-10-26,25-035,PIT,,WAS,L 7-14,5,27,5.40,0,,0,0,,0,0,0,,0,0,0,,,,1,19,19.00,0,0,0
25,1969,7,1969-11-02,25-042,PIT,,GNB,L 34-38,5,16,3.20,0,,0,0,,0,0,0,,0,0,0,,,,2,38,19.00,0,0,0
26,1969,8,1969-11-09,25-049,PIT,@,CHI,L 7-38,3,27,9.00,0,,1,5,5.00,0,0,0,,0,0,0,,,,1,12,12.00,0,0,0
27,1969,9,1969-11-16,25-056,PIT,,CLE,L 3-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,30,30.00,0,0,0
28,1969,10,1969-11-23,25-063,PIT,@,MIN,L 14-52,2,4,2.00,0,,1,-3,-3.00,0,0,0,,0,0,0,,,,2,111,55.50,1,1,6
29,1969,11,1969-11-30,25-070,PIT,@,STL,L 10-47,3,17,5.67,0,,0,0,,0,0,0,,0,0,0,,,,3,63,21.00,0,0,0
30,1969,12,1969-12-07,25-077,PIT,,DAL,L 7-10,4,4,1.00,0,,0,0,,0,0,0,,0,0,0,,,,1,25,25.00,0,0,0
31,1969,13,1969-12-14,25-084,PIT,,NYG,L 17-21,4,6,1.50,0,,0,0,,0,0,0,,0,0,0,,,,2,28,14.00,0,0,0
32,1969,14,1969-12-21,25-091,PIT,@,NOR,L 24-27,1,-3,-3.00,0,,0,0,,0,0,0,,0,0,0,,,,1,44,44.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
33,1970,13,1970-12-13,26-083,NOR,,SFO,L 27-38,8,26,3.25,1,,2,24,12.00,0,0,0,,0,0,0,,,,1,26,26.00,0,1,6
34,1970,14,1970-12-20,26-090,NOR,,CHI,L 3-24,15,37,2.47,0,,3,19,6.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,34 Games,,,,,7-26-1,229,884,3.86,6,,37,390,10.54,3,0,1,0.00,0,0,0,39.6,0.00,0.00,29,756,26.07,1,10,60
