
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2007,1,2007-09-10,22-257,BAL,@,CIN,L 20-27,0,0,,0,4,3,13,4.33,0,0,0,,0,0,0,0.0,0,0
2,2007,2,2007-09-16,22-263,BAL,,NYJ,W 20-13,2,6,3.00,0,1,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
3,2007,3,2007-09-23,22-270,BAL,,ARI,W 26-23,0,0,,0,2,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
4,2007,4,2007-09-30,22-277,BAL,@,CLE,L 13-27,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2007,5,2007-10-07,22-284,BAL,@,SFO,W 9-7,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2007,6,2007-10-14,22-291,BAL,,STL,W 22-3,1,3,3.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2007,7,2007-10-21,22-298,BAL,@,BUF,L 14-19,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2007,8,2007-11-05,22-313,BAL,@,PIT,L 7-38,1,3,3.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2007,9,2007-11-11,22-319,BAL,,CIN,L 7-21,0,0,,0,1,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
10,2007,10,2007-11-18,22-326,BAL,,CLE,L 30-33,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2007,11,2007-11-25,22-333,BAL,@,SDG,L 14-32,0,0,,0,2,1,13,13.00,1,0,0,,0,1,6,0.0,0,0
12,2007,12,2007-12-03,22-341,BAL,,NWE,L 24-27,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2007,13,2007-12-09,22-347,BAL,,IND,L 20-44,0,0,,0,1,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
14,2007,14,2007-12-16,22-354,BAL,@,MIA,L 16-22,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2007,15,2007-12-23,22-361,BAL,@,SEA,L 6-27,1,2,2.00,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2007,16,2007-12-30,23-003,BAL,,PIT,W 27-21,1,2,2.00,0,1,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
17,2008,1,2008-09-07,23-255,BAL,,CIN,W 17-10,19,86,4.53,0,3,2,24,12.00,0,0,0,,0,0,0,0.0,0,0
18,2008,2,2008-09-21,23-269,BAL,,CLE,W 28-10,17,66,3.88,2,2,1,4,4.00,0,0,0,,0,2,12,0.0,0,0
19,2008,3,2008-09-29,23-277,BAL,@,PIT,L 20-23,16,63,3.94,1,4,3,26,8.67,0,0,0,,0,1,6,0.0,0,0
20,2008,4,2008-10-05,23-283,BAL,,TEN,L 10-13,11,51,4.64,1,2,2,12,6.00,0,0,0,,0,1,6,0.0,0,0
21,2008,5,2008-10-12,23-290,BAL,@,IND,L 3-31,2,-2,-1.00,0,1,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
22,2008,6,2008-10-19,23-297,BAL,@,MIA,W 27-13,6,17,2.83,0,3,3,10,3.33,0,0,0,,0,0,0,0.0,0,0
23,2008,7,2008-10-26,23-304,BAL,,OAK,W 29-10,7,32,4.57,0,4,1,1,1.00,0,0,0,,0,0,0,0.0,1,0
24,2008,8,2008-11-02,23-311,BAL,@,CLE,W 37-27,14,34,2.43,1,1,1,3,3.00,0,0,0,,0,1,6,0.0,0,0
25,2008,9,2008-11-09,23-318,BAL,@,HOU,W 41-13,5,14,2.80,0,1,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
26,2008,10,2008-11-16,23-325,BAL,@,NYG,L 10-30,2,10,5.00,0,6,3,31,10.33,1,0,0,,0,1,6,0.0,0,0
27,2008,11,2008-11-23,23-332,BAL,,PHI,W 36-7,18,88,4.89,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
28,2008,12,2008-11-30,23-339,BAL,@,CIN,W 34-3,25,86,3.44,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2008,13,2008-12-07,23-346,BAL,,WAS,W 24-10,20,61,3.05,1,1,0,0,,0,0,0,,0,1,6,0.0,0,0
30,2008,14,2008-12-14,23-353,BAL,,PIT,L 9-13,23,87,3.78,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
31,2008,15,2008-12-20,23-359,BAL,@,DAL,W 33-24,22,139,6.32,1,1,1,4,4.00,0,0,0,,0,1,6,0.0,0,0
32,2008,16,2008-12-28,24-001,BAL,,JAX,W 27-7,25,70,2.80,2,0,0,0,,0,0,0,,0,2,12,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
33,2009,1,2009-09-13,24-260,BAL,,KAN,W 38-24,6,19,3.17,1,4,3,23,7.67,0,0,0,,0,1,6,0.0,0,0
34,2009,2,2009-09-20,24-267,BAL,@,SDG,W 31-26,4,12,3.00,0,3,2,16,8.00,0,0,0,,0,0,0,0.0,0,0
35,2009,3,2009-09-27,24-274,BAL,,CLE,W 34-3,2,7,3.50,0,3,3,29,9.67,0,0,0,,0,0,0,0.0,0,0
36,2009,4,2009-10-04,24-281,BAL,@,NWE,L 21-27,,,,,1,,,,,,,,,,,,,
37,2009,5,2009-10-11,24-288,BAL,,CIN,L 14-17,2,6,3.00,0,4,3,10,3.33,0,0,0,,0,0,0,0.0,0,0
38,2009,6,2009-10-18,24-295,BAL,@,MIN,L 31-33,1,1,1.00,0,1,1,-2,-2.00,0,1,17,17.00,0,0,0,0.0,0,0
39,2009,7,2009-11-01,24-309,BAL,,DEN,W 30-7,3,31,10.33,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
40,2009,8,2009-11-08,24-316,BAL,@,CIN,L 7-17,2,2,1.00,0,2,2,24,12.00,0,0,0,,0,0,0,0.0,0,0
41,2009,9,2009-11-16,24-324,BAL,@,CLE,W 16-0,3,10,3.33,0,3,3,19,6.33,0,0,0,,0,0,0,0.0,0,1
42,2009,10,2009-11-22,24-330,BAL,,IND,L 15-17,3,4,1.33,0,1,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
43,2009,11,2009-11-29,24-337,BAL,,PIT,W 20-17,4,28,7.00,0,1,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
44,2009,12,2009-12-07,24-345,BAL,@,GNB,L 14-27,,,,,1,,,,,,,,,,,,,
45,2009,13,2009-12-13,24-351,BAL,,DET,W 48-3,6,32,5.33,1,1,0,0,,0,0,0,,0,1,6,0.0,0,0
46,2009,14,2009-12-20,24-358,BAL,,CHI,W 31-7,3,6,2.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
47,2009,15,2009-12-27,25-000,BAL,@,PIT,L 20-23,6,17,2.83,0,1,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
48,2009,16,2010-01-03,25-007,BAL,@,OAK,W 21-13,1,5,5.00,0,1,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
49,2010,1,2010-09-13,25-260,BAL,@,NYJ,W 10-9,4,6,1.50,0,2,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
50,2010,2,2010-09-19,25-266,BAL,@,CIN,L 10-15,1,3,3.00,0,1,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
51,2010,3,2010-09-26,25-273,BAL,,CLE,W 24-17,1,4,4.00,0,2,2,18,9.00,0,0,0,,0,0,0,0.0,0,0
52,2010,4,2010-10-03,25-280,BAL,@,PIT,W 17-14,2,7,3.50,0,3,2,13,6.50,0,0,0,,0,0,0,0.0,0,0
53,2010,5,2010-10-10,25-287,BAL,,DEN,W 31-17,5,13,2.60,0,2,2,11,5.50,0,0,0,,0,0,0,0.0,0,0
54,2010,6,2010-10-17,25-294,BAL,@,NWE,L 20-23,3,7,2.33,0,2,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
55,2010,7,2010-10-24,25-301,BAL,,BUF,W 37-34,0,0,,0,2,2,35,17.50,0,0,0,,0,0,0,0.0,0,0
56,2010,8,2010-11-07,25-315,BAL,,MIA,W 26-10,5,17,3.40,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
57,2010,9,2010-11-11,25-319,BAL,@,ATL,L 21-26,1,2,2.00,0,2,2,3,1.50,0,0,0,,0,0,0,0.0,3,0
58,2010,10,2010-11-21,25-329,BAL,@,CAR,W 37-13,2,5,2.50,0,3,2,11,5.50,0,0,0,,0,0,0,0.0,0,0
59,2010,11,2010-11-28,25-336,BAL,,TAM,W 17-10,,,,,,,,,,,,,,,,,,
60,2010,13,2010-12-13,25-351,BAL,@,HOU,W 34-28,1,2,2.00,0,2,2,20,10.00,0,0,0,,0,0,0,0.0,0,0
61,2010,14,2010-12-19,25-357,BAL,,NOR,W 30-24,,,,,1,,,,,,,,,,,,,
