
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1987,3,1987-10-04,21-292,WAS,,STL,W 28-21,,4,43,10.75,0,0,0
2,1987,4,1987-10-11,21-299,WAS,@,NYG,W 38-12,,1,13,13.00,0,0,0
3,1987,5,1987-10-19,21-307,WAS,@,DAL,W 13-7,,7,108,15.43,0,0,0
4,1987,7,1987-11-01,21-320,WAS,@,BUF,W 27-7,,0,0,,0,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
5,1988,1,1988-09-05,22-264,WAS,@,NYG,L 20-27,,3,23,7.67,0,0,0
6,1988,2,1988-09-11,22-270,WAS,,PIT,W 30-29,,3,24,8.00,0,0,0
7,1988,3,1988-09-18,22-277,WAS,,PHI,W 17-10,,0,0,,0,,
8,1988,4,1988-09-25,22-284,WAS,@,PHO,L 21-30,,3,47,15.67,0,0,0
9,1988,5,1988-10-02,22-291,WAS,,NYG,L 23-24,,5,50,10.00,0,0,0
10,1988,6,1988-10-09,22-298,WAS,@,DAL,W 35-17,,0,0,,0,,
11,1988,7,1988-10-16,22-305,WAS,,PHO,W 33-17,,2,35,17.50,0,0,0
12,1988,8,1988-10-23,22-312,WAS,@,GNB,W 20-17,,3,17,5.67,0,0,0
13,1988,10,1988-11-06,22-326,WAS,,NOR,W 27-24,,0,0,,0,,
14,1988,11,1988-11-13,22-333,WAS,,CHI,L 14-34,,3,120,40.00,0,0,0
15,1988,12,1988-11-21,22-341,WAS,@,SFO,L 21-37,,0,0,,0,,
16,1988,13,1988-11-27,22-347,WAS,,CLE,L 13-17,,1,7,7.00,0,0,0
17,1988,15,1988-12-11,22-361,WAS,,DAL,L 17-24,,0,0,,0,,
18,1988,16,1988-12-17,23-001,WAS,@,CIN,L 17-20,,0,0,,0,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
19,1989,13,1989-12-03,23-352,SDG,,NYJ,L 17-20,,0,0,,0,,
20,1989,14,1989-12-10,23-359,SDG,@,WAS,L 21-26,,1,5,5.00,0,0,0
21,1989,15,1989-12-17,24-001,SDG,@,KAN,W 20-13,,1,16,16.00,0,0,0
22,1989,16,1989-12-24,24-008,SDG,,DEN,W 19-16,,5,78,15.60,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
23,1990,1,1990-09-09,24-267,SDG,@,DAL,L 14-17,,3,27,9.00,1,1,6
24,1990,2,1990-09-16,24-274,SDG,,CIN,L 16-21,,1,14,14.00,0,0,0
25,1990,3,1990-09-23,24-281,SDG,@,CLE,W 24-14,,6,60,10.00,0,0,0
26,1990,4,1990-09-30,24-288,SDG,,HOU,L 7-17,,3,18,6.00,0,0,0
27,1990,5,1990-10-07,24-295,SDG,@,PIT,L 14-36,,0,0,,0,,
28,1990,6,1990-10-14,24-302,SDG,@,NYJ,W 39-3,,0,0,,0,,
29,1990,7,1990-10-21,24-309,SDG,,RAI,L 9-24,,0,0,,0,,
30,1990,8,1990-10-28,24-316,SDG,,TAM,W 41-10,,1,8,8.00,0,0,0
31,1990,9,1990-11-04,24-323,SDG,@,SEA,W 31-14,,0,0,,0,,
32,1990,10,1990-11-11,24-330,SDG,,DEN,W 19-7,,3,41,13.67,0,0,0
33,1990,11,1990-11-18,24-337,SDG,@,KAN,L 10-27,,1,9,9.00,0,0,0
34,1990,12,1990-11-25,24-344,SDG,,SEA,L 10-13,,2,28,14.00,0,0,0
35,1990,13,1990-12-02,24-351,SDG,,NYJ,W 38-17,,3,50,16.67,0,0,0
36,1990,14,1990-12-16,25-000,SDG,@,DEN,L 10-20,,3,51,17.00,1,1,6
37,1990,15,1990-12-23,25-007,SDG,,KAN,L 21-24,,1,8,8.00,0,0,0
38,1990,16,1990-12-30,25-014,SDG,@,RAI,L 12-17,,2,11,5.50,1,1,6
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
39,1991,1,1991-09-01,25-259,SDG,@,PIT,L 20-26,,2,13,6.50,0,0,0
40,1991,2,1991-09-08,25-266,SDG,@,SFO,L 14-34,,4,31,7.75,1,1,6
41,1991,3,1991-09-15,25-273,SDG,,ATL,L 10-13,,3,24,8.00,0,0,0
42,1991,4,1991-09-22,25-280,SDG,@,DEN,L 19-27,,2,14,7.00,0,0,0
