
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,2004,1,2004-09-13,22-109,GNB,@,CAR,W 24-14,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
2,2005,13,2005-12-11,23-198,DET,@,GNB,L 13-16,0,0,0,,0,0.0,0,0
3,2005,14,2005-12-18,23-205,DET,,CIN,L 17-41,1,0,0,,0,0.0,0,0
4,2005,15,2005-12-24,23-211,DET,@,NOR,W 13-12,0,0,0,,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
5,2006,7,2006-10-22,24-148,DET,@,NYJ,L 24-31,,0,0,,0,0.0,0,0
6,2006,8,2006-11-05,24-162,DET,,ATL,W 30-14,1,1,7,7.00,0,0.0,0,0
7,2006,11,2006-11-23,24-180,DET,,MIA,L 10-27,1,0,0,,0,0.0,0,0
8,2006,14,2006-12-17,24-204,DET,@,GNB,L 9-17,,0,0,,0,0.0,0,0
9,2006,15,2006-12-24,24-211,DET,,CHI,L 21-26,1,1,11,11.00,0,0.0,0,0
10,2006,16,2006-12-31,24-218,DET,@,DAL,W 39-31,2,1,7,7.00,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
11,2007,1,2007-09-09,25-105,DET,@,OAK,W 36-21,3,2,45,22.50,0,0.0,0,0
12,2007,2,2007-09-16,25-112,DET,,MIN,W 20-17,4,3,27,9.00,0,0.0,0,0
13,2007,3,2007-09-23,25-119,DET,@,PHI,L 21-56,,0,0,,0,0.0,0,0
14,2007,4,2007-09-30,25-126,DET,,CHI,W 37-27,1,1,23,23.00,0,0.0,0,0
15,2007,5,2007-10-07,25-133,DET,@,WAS,L 3-34,2,1,3,3.00,0,0.0,0,0
16,2007,7,2007-10-28,25-154,DET,@,CHI,W 16-7,3,1,11,11.00,0,0.0,0,0
17,2007,8,2007-11-04,25-161,DET,,DEN,W 44-7,1,1,46,46.00,0,0.0,0,0
18,2007,9,2007-11-11,25-168,DET,@,ARI,L 21-31,0,0,0,,0,0.0,0,0
19,2007,10,2007-11-18,25-175,DET,,NYG,L 10-16,1,1,18,18.00,0,0.0,0,0
20,2007,11,2007-11-22,25-179,DET,,GNB,L 26-37,2,0,0,,0,0.0,0,0
21,2007,12,2007-12-02,25-189,DET,@,MIN,L 10-42,1,1,5,5.00,0,0.0,0,0
22,2007,13,2007-12-09,25-196,DET,,DAL,L 27-28,7,3,60,20.00,0,0.0,0,0
23,2007,14,2007-12-16,25-203,DET,@,SDG,L 14-51,,0,0,,0,0.0,0,0
24,2007,15,2007-12-23,25-210,DET,,KAN,W 25-20,1,1,7,7.00,0,0.0,0,0
25,2007,16,2007-12-30,25-217,DET,@,GNB,L 13-34,3,2,7,3.50,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
26,2008,2,2008-09-14,26-110,PIT,@,CLE,W 10-6,,,,,,,,
27,2008,3,2008-09-21,26-117,PIT,@,PHI,L 6-15,,,,,,,,
28,2008,4,2008-09-29,26-125,PIT,,BAL,W 23-20,,,,,,,,
29,2008,5,2008-10-05,26-131,PIT,@,JAX,W 26-21,,,,,,,,
30,2008,6,2008-10-19,26-145,PIT,@,CIN,W 38-10,,,,,,,,
31,2008,7,2008-10-26,26-152,PIT,,NYG,L 14-21,,,,,,,,
32,2008,8,2008-11-03,26-160,PIT,@,WAS,W 23-6,,,,,,,,
33,2008,9,2008-11-09,26-166,PIT,,IND,L 20-24,1,1,2,2.00,0,0.0,1,0
34,2008,10,2008-11-16,26-173,PIT,,SDG,W 11-10,1,1,15,15.00,0,0.0,0,0
35,2008,11,2008-11-20,26-177,PIT,,CIN,W 27-10,,,,,,,,
36,2008,12,2008-11-30,26-187,PIT,@,NWE,W 33-10,,,,,,,,
37,2008,13,2008-12-07,26-194,PIT,,DAL,W 20-13,,,,,,,,
38,2008,14,2008-12-14,26-201,PIT,@,BAL,W 13-9,2,1,7,7.00,0,0.0,0,0
39,2008,15,2008-12-21,26-208,PIT,@,TEN,L 14-31,,,,,,,,
40,2008,16,2008-12-28,26-215,PIT,,CLE,W 31-0,,,,,,,,
,,,40 Games,,,,,21-19-0,39,23,301,13.09,0,0.0,1,0
