
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2005,6,2005-10-23,22-310,PHI,,SDG,W 20-17,0,0,,0,0,0,0,,0,2,26,13.00,0,0,0,0.0,0,0
2,2005,11,2005-11-27,22-345,PHI,,GNB,W 19-14,6,24,4.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2005,12,2005-12-05,22-353,PHI,,SEA,L 0-42,10,26,2.60,0,2,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
4,2005,13,2005-12-11,22-359,PHI,,NYG,L 23-26,11,114,10.36,2,0,0,0,,0,0,0,,0,2,12,0.0,0,0
5,2005,14,2005-12-18,23-001,PHI,@,STL,W 17-16,12,78,6.50,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
6,2005,15,2005-12-24,23-007,PHI,@,ARI,L 21-27,9,13,1.44,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2005,16,2006-01-01,23-015,PHI,,WAS,L 20-31,7,23,3.29,0,3,3,4,1.33,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
8,2006,1,2006-09-10,23-267,PHI,@,HOU,W 24-10,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2006,2,2006-09-17,23-274,PHI,,NYG,L 24-30,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2006,3,2006-09-24,23-281,PHI,@,SFO,W 38-24,2,16,8.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2006,4,2006-10-02,23-289,PHI,,GNB,W 31-9,7,22,3.14,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2006,5,2006-10-08,23-295,PHI,,DAL,W 38-24,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2006,6,2006-10-15,23-302,PHI,@,NOR,L 24-27,1,7,7.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2006,7,2006-10-22,23-309,PHI,@,TAM,L 21-23,0,0,,0,0,0,0,,0,2,43,21.50,0,0,0,0.0,0,0
15,2006,16,2006-12-31,24-014,PHI,,ATL,W 24-17,11,22,2.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
16,2008,7,2008-10-26,25-314,HOU,,CIN,W 35-6,3,17,5.67,0,0,0,0,,0,0,0,,0,0,0,0.0,0,1
17,2008,8,2008-11-02,25-321,HOU,@,MIN,L 21-28,0,0,,0,0,0,0,,0,1,31,31.00,0,0,0,0.0,0,1
18,2008,9,2008-11-09,25-328,HOU,,BAL,L 13-41,7,34,4.86,0,1,0,0,,0,6,126,21.00,0,0,0,0.0,0,0
19,2008,10,2008-11-16,25-335,HOU,@,IND,L 27-33,0,0,,0,0,0,0,,0,2,55,27.50,0,0,0,0.0,0,0
20,2008,11,2008-11-23,25-342,HOU,@,CLE,W 16-6,,,,,,,,,,,,,,,,,,
21,2008,12,2008-12-01,25-350,HOU,,JAX,W 30-17,2,-1,-0.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2008,13,2008-12-07,25-356,HOU,@,GNB,W 24-21,2,6,3.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2008,15,2008-12-21,26-004,HOU,@,OAK,L 16-27,,,,,,,,,,,,,,,,,,
24,2008,16,2008-12-28,26-011,HOU,,CHI,W 31-24,12,38,3.17,1,4,3,14,4.67,0,0,0,,0,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
25,2009,2,2009-09-20,26-277,HOU,@,TEN,W 34-31,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
26,2009,3,2009-09-27,26-284,HOU,,JAX,L 24-31,,,,,,,,,,,,,,,,,,
27,2009,4,2009-10-04,26-291,HOU,,OAK,W 29-6,15,56,3.73,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
28,2009,5,2009-10-11,26-298,HOU,@,ARI,L 21-28,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2009,6,2009-10-18,26-305,HOU,@,CIN,W 28-17,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
30,2009,7,2009-10-25,26-312,HOU,,SFO,W 24-21,,,,,,,,,,,,,,,,,,
31,2009,8,2009-11-01,26-319,HOU,@,BUF,W 31-10,23,126,5.48,3,3,2,25,12.50,0,0,0,,0,3,18,0.0,0,0
32,2009,9,2009-11-08,26-326,HOU,@,IND,L 17-20,16,38,2.38,0,3,3,15,5.00,1,0,0,,0,1,6,0.0,0,0
33,2009,11,2009-11-29,26-347,HOU,,IND,L 27-35,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
34,2009,12,2009-12-06,26-354,HOU,@,JAX,L 18-23,12,41,3.42,0,3,3,24,8.00,0,0,0,,0,0,0,0.0,0,0
35,2009,13,2009-12-13,26-361,HOU,,SEA,W 34-7,10,43,4.30,1,1,1,3,3.00,0,0,0,,0,1,6,0.0,0,0
36,2009,14,2009-12-20,27-003,HOU,@,STL,W 16-13,13,46,3.54,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
37,2009,15,2009-12-27,27-010,HOU,@,MIA,W 27-20,8,23,2.88,0,4,4,39,9.75,0,0,0,,0,0,0,0.0,0,0
38,2009,16,2010-01-03,27-017,HOU,,NWE,W 34-27,4,17,4.25,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,38 Games,,,,,22-16-0,204,831,4.07,8,27,20,127,6.35,1,13,281,21.62,0,9,54,0.0,0,2
