
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1993,1,1993-09-05,23-033,RAI,,MIN,W 24-7,4,15,3.75,0,2,2,6,3.00,0,0,0
2,1993,2,1993-09-12,23-040,RAI,@,SEA,W 17-13,1,-6,-6.00,0,2,0,0,,0,0,0
3,1993,3,1993-09-19,23-047,RAI,,CLE,L 16-19,4,20,5.00,0,,0,0,,0,0,0
4,1993,4,1993-10-03,23-061,RAI,@,KAN,L 9-24,5,20,4.00,0,4,3,13,4.33,0,0,0
5,1993,5,1993-10-10,23-068,RAI,,NYJ,W 24-20,1,4,4.00,0,3,1,2,2.00,0,0,0
6,1993,6,1993-10-18,23-076,RAI,@,DEN,W 23-20,2,3,1.50,0,1,0,0,,0,0,0
7,1993,7,1993-10-31,23-089,RAI,,SDG,L 23-30,1,1,1.00,0,4,2,6,3.00,0,0,0
8,1993,8,1993-11-07,23-096,RAI,@,CHI,W 16-14,1,-1,-1.00,0,1,0,0,,0,0,0
9,1993,9,1993-11-14,23-103,RAI,,KAN,L 20-31,1,-7,-7.00,0,1,0,0,,0,0,0
10,1993,10,1993-11-21,23-110,RAI,@,SDG,W 12-7,3,11,3.67,0,,0,0,,0,0,0
11,1993,15,1993-12-26,23-145,RAI,@,GNB,L 0-28,1,2,2.00,0,,0,0,,0,0,0
12,1993,16,1994-01-02,23-152,RAI,,DEN,W 33-30,13,44,3.38,0,5,2,16,8.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
13,1994,1,1994-09-05,24-033,RAI,@,SFO,L 14-44,6,4,0.67,0,1,1,0,0.00,0,0,0
14,1994,2,1994-09-11,24-039,RAI,,SEA,L 9-38,3,11,3.67,0,1,1,7,7.00,0,0,0
15,1994,3,1994-09-18,24-046,RAI,@,DEN,W 48-16,13,53,4.08,0,3,3,93,31.00,1,1,6
16,1994,4,1994-09-25,24-053,RAI,,SDG,L 24-26,4,5,1.25,0,2,1,9,9.00,0,0,0
17,1994,5,1994-10-09,24-067,RAI,@,NWE,W 21-17,3,7,2.33,0,2,1,14,14.00,0,0,0
18,1994,6,1994-10-16,24-074,RAI,@,MIA,L 17-20,7,17,2.43,0,1,1,3,3.00,0,0,0
,,,18 Games,,,,,9-9-0,73,203,2.78,0,33,18,169,9.39,1,1,6
