
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1975,1,1975-09-21,21-241,WAS,,NOR,W 41-3,8,44,5.50,0,,1,27,27.00,1,0,0,,0,1,6
2,1975,2,1975-09-28,21-248,WAS,,NYG,W 49-13,5,35,7.00,0,,2,17,8.50,0,0,0,,0,0,0
3,1975,3,1975-10-05,21-255,WAS,@,PHI,L 10-26,4,10,2.50,0,,0,0,,0,2,60,30.00,0,0,0
4,1975,4,1975-10-13,21-263,WAS,,STL,W 27-17,1,13,13.00,0,,0,0,,0,0,0,,0,0,0
5,1975,5,1975-10-19,21-269,WAS,@,HOU,L 10-13,1,9,9.00,0,,0,0,,0,0,0,,0,0,0
6,1975,6,1975-10-26,21-276,WAS,@,CLE,W 23-7,2,3,1.50,0,,1,10,10.00,0,0,0,,0,0,0
7,1975,8,1975-11-09,21-290,WAS,@,NYG,W 21-13,1,-1,-1.00,0,,0,0,,0,0,0,,0,0,0
8,1975,9,1975-11-16,21-297,WAS,@,STL,L 17-20,1,0,0.00,0,,0,0,,0,0,0,,0,0,0
9,1975,10,1975-11-23,21-304,WAS,,OAK,L 23-26,0,0,,0,,0,0,,0,1,6,6.00,0,0,0
10,1975,13,1975-12-13,21-324,WAS,@,DAL,L 10-31,6,20,3.33,0,,1,4,4.00,0,0,0,,0,0,0
11,1975,14,1975-12-21,21-332,WAS,,PHI,L 3-26,2,6,3.00,0,,0,0,,0,2,41,20.50,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
12,1976,3,1976-09-26,22-247,SEA,,SFO,L 21-37,8,52,6.50,0,,4,25,6.25,0,0,0,,0,0,0
13,1976,4,1976-10-03,22-254,SEA,,DAL,L 13-28,10,26,2.60,0,,2,23,11.50,0,0,0,,0,0,0
14,1976,5,1976-10-10,22-261,SEA,@,GNB,L 20-27,14,38,2.71,1,,2,11,5.50,0,0,0,,0,1,6
15,1976,6,1976-10-17,22-268,SEA,@,TAM,W 13-10,4,22,5.50,0,,1,7,7.00,0,0,0,,0,0,0
16,1976,8,1976-10-31,22-282,SEA,@,RAM,L 6-45,5,11,2.20,0,,2,20,10.00,0,0,0,,0,0,0
17,1976,9,1976-11-07,22-289,SEA,,ATL,W 30-13,10,25,2.50,0,,0,0,,0,0,0,,0,0,0
18,1976,11,1976-11-21,22-303,SEA,,NOR,L 27-51,1,-1,-1.00,0,,1,10,10.00,0,0,0,,0,0,0
,,,18 Games,,,,,7-11-0,83,312,3.76,1,,17,154,9.06,1,5,107,21.40,0,2,12
